Seizoen,Datum,Thuisclub,Uitclub,Thuisscore,Uitscore
1956-1957,1956-09-02,Ajax,NAC,1,0
1956-1957,1956-09-02,BVV,Elinkwijk,1,2
1956-1957,1956-09-02,DOS,Sparta,2,3
1956-1957,1956-09-02,Fortuna `54,Eindhoven,4,1
1956-1957,1956-09-02,NOAD,BVC Amsterdam,1,3
1956-1957,1956-09-02,PSV,MVV,1,3
1956-1957,1956-09-02,SC Enschede,Rapid JC,5,2
1956-1957,1956-09-02,VVV,GVAV,1,0
1956-1957,1956-09-02,Willem II,Feijenoord,3,3
1956-1957,1956-09-09,BVC Amsterdam,Willem II,0,6
1956-1957,1956-09-09,Eindhoven,VVV,0,2
1956-1957,1956-09-09,Elinkwijk,SC Enschede,1,5
1956-1957,1956-09-09,Feijenoord,BVV,5,1
1956-1957,1956-09-09,GVAV,DOS,3,2
1956-1957,1956-09-09,MVV,Fortuna `54,1,0
1956-1957,1956-09-09,NAC,NOAD,2,2
1956-1957,1956-09-09,Rapid JC,PSV,3,1
1956-1957,1956-09-09,Sparta,Ajax,1,2
1956-1957,1956-09-23,Ajax,GVAV,4,2
1956-1957,1956-09-23,BVV,Willem II,3,2
1956-1957,1956-09-23,DOS,Eindhoven,0,1
1956-1957,1956-09-23,Fortuna `54,Rapid JC,5,0
1956-1957,1956-09-23,NAC,BVC Amsterdam,3,1
1956-1957,1956-09-23,NOAD,Sparta,3,0
1956-1957,1956-09-23,PSV,Elinkwijk,0,3
1956-1957,1956-09-23,SC Enschede,Feijenoord,2,3
1956-1957,1956-09-23,VVV,MVV,1,3
1956-1957,1956-09-30,BVC Amsterdam,BVV,3,2
1956-1957,1956-09-30,Eindhoven,Ajax,0,3
1956-1957,1956-09-30,Elinkwijk,Fortuna `54,2,2
1956-1957,1956-09-30,Feijenoord,PSV,2,0
1956-1957,1956-09-30,GVAV,NOAD,2,0
1956-1957,1956-09-30,MVV,DOS,2,5
1956-1957,1956-09-30,Rapid JC,VVV,2,0
1956-1957,1956-09-30,Sparta,NAC,1,4
1956-1957,1956-09-30,Willem II,SC Enschede,2,2
1956-1957,1956-10-07,Ajax,MVV,2,0
1956-1957,1956-10-07,DOS,Rapid JC,2,0
1956-1957,1956-10-07,Fortuna `54,Feijenoord,3,2
1956-1957,1956-10-07,NAC,GVAV,2,0
1956-1957,1956-10-07,NOAD,Eindhoven,2,0
1956-1957,1956-10-07,PSV,Willem II,3,1
1956-1957,1956-10-07,SC Enschede,BVV,4,1
1956-1957,1956-10-07,Sparta,BVC Amsterdam,1,1
1956-1957,1956-10-07,VVV,Elinkwijk,2,1
1956-1957,1956-10-21,BVC Amsterdam,SC Enschede,0,2
1956-1957,1956-10-21,BVV,PSV,0,3
1956-1957,1956-10-21,Eindhoven,NAC,2,2
1956-1957,1956-10-21,Elinkwijk,DOS,1,6
1956-1957,1956-10-21,Feijenoord,VVV,3,0
1956-1957,1956-10-21,GVAV,Sparta,2,2
1956-1957,1956-10-21,MVV,NOAD,3,0
1956-1957,1956-10-21,Rapid JC,Ajax,4,2
1956-1957,1956-10-21,Willem II,Fortuna `54,2,3
1956-1957,1956-10-28,Ajax,Elinkwijk,1,0
1956-1957,1956-10-28,DOS,Feijenoord,4,0
1956-1957,1956-10-28,Fortuna `54,BVV,4,1
1956-1957,1956-10-28,GVAV,BVC Amsterdam,1,1
1956-1957,1956-10-28,NAC,MVV,2,1
1956-1957,1956-10-28,NOAD,Rapid JC,3,2
1956-1957,1956-10-28,PSV,SC Enschede,1,5
1956-1957,1956-10-28,Sparta,Eindhoven,6,0
1956-1957,1956-10-28,VVV,Willem II,3,1
1956-1957,1956-11-11,BVC Amsterdam,PSV,1,3
1956-1957,1956-11-11,BVV,VVV,1,4
1956-1957,1956-11-11,Eindhoven,GVAV,1,1
1956-1957,1956-11-11,Elinkwijk,NOAD,2,3
1956-1957,1956-11-11,Feijenoord,Ajax,7,3
1956-1957,1956-11-11,MVV,Sparta,3,2
1956-1957,1956-11-11,Rapid JC,NAC,5,1
1956-1957,1956-11-11,SC Enschede,Fortuna `54,4,1
1956-1957,1956-11-11,Willem II,DOS,2,3
1956-1957,1956-11-18,Ajax,Willem II,5,0
1956-1957,1956-11-18,DOS,BVV,1,3
1956-1957,1956-11-18,Eindhoven,BVC Amsterdam,1,1
1956-1957,1956-11-18,Fortuna `54,PSV,1,3
1956-1957,1956-11-18,GVAV,MVV,0,0
1956-1957,1956-11-18,NAC,Elinkwijk,2,1
1956-1957,1956-11-18,NOAD,Feijenoord,0,0
1956-1957,1956-11-18,Sparta,Rapid JC,4,3
1956-1957,1956-11-25,Elinkwijk,Sparta,1,3
1956-1957,1956-11-25,Feijenoord,NAC,2,2
1956-1957,1956-11-25,MVV,Eindhoven,3,0
1956-1957,1956-11-25,PSV,VVV,0,1
1956-1957,1956-12-02,Ajax,SC Enschede,1,2
1956-1957,1956-12-02,DOS,PSV,2,8
1956-1957,1956-12-02,Eindhoven,Rapid JC,0,2
1956-1957,1956-12-02,GVAV,Elinkwijk,1,2
1956-1957,1956-12-02,MVV,BVC Amsterdam,2,0
1956-1957,1956-12-02,NAC,Willem II,2,1
1956-1957,1956-12-02,NOAD,BVV,0,0
1956-1957,1956-12-02,Sparta,Feijenoord,0,4
1956-1957,1956-12-02,VVV,Fortuna `54,2,3
1956-1957,1956-12-09,BVC Amsterdam,VVV,4,1
1956-1957,1956-12-09,BVV,NAC,8,0
1956-1957,1956-12-09,Elinkwijk,Eindhoven,5,2
1956-1957,1956-12-09,Feijenoord,GVAV,2,1
1956-1957,1956-12-09,Fortuna `54,DOS,4,1
1956-1957,1956-12-09,PSV,Ajax,2,3
1956-1957,1956-12-09,Rapid JC,MVV,1,1
1956-1957,1956-12-09,SC Enschede,NOAD,1,1
1956-1957,1956-12-09,Willem II,Sparta,0,0
1956-1957,1956-12-16,Ajax,Fortuna `54,0,2
1956-1957,1956-12-16,DOS,VVV,1,3
1956-1957,1956-12-16,Eindhoven,Feijenoord,0,1
1956-1957,1956-12-16,GVAV,Willem II,5,3
1956-1957,1956-12-16,MVV,Elinkwijk,2,0
1956-1957,1956-12-16,NAC,SC Enschede,1,1
1956-1957,1956-12-16,NOAD,PSV,2,3
1956-1957,1956-12-16,Rapid JC,BVC Amsterdam,2,2
1956-1957,1956-12-16,Sparta,BVV,3,3
1956-1957,1956-12-23,BVC Amsterdam,DOS,1,2
1956-1957,1956-12-23,BVV,GVAV,1,2
1956-1957,1956-12-23,Elinkwijk,Rapid JC,1,4
1956-1957,1956-12-23,Feijenoord,MVV,2,2
1956-1957,1956-12-23,Fortuna `54,NOAD,0,3
1956-1957,1956-12-23,PSV,NAC,2,5
1956-1957,1956-12-23,SC Enschede,Sparta,1,1
1956-1957,1956-12-23,VVV,Ajax,0,0
1956-1957,1956-12-23,Willem II,Eindhoven,3,2
1956-1957,1956-12-26,BVV,Ajax,3,1
1956-1957,1956-12-26,VVV,SC Enschede,0,1
1956-1957,1956-12-30,Ajax,DOS,1,2
1956-1957,1956-12-30,Eindhoven,BVV,2,3
1956-1957,1956-12-30,Elinkwijk,BVC Amsterdam,0,2
1956-1957,1956-12-30,MVV,Willem II,0,0
1956-1957,1956-12-30,NAC,Fortuna `54,0,2
1956-1957,1956-12-30,NOAD,VVV,1,2
1956-1957,1956-12-30,Rapid JC,Feijenoord,4,1
1956-1957,1956-12-30,Sparta,PSV,3,4
1956-1957,1957-01-06,Ajax,BVC Amsterdam,2,3
1956-1957,1957-01-06,BVV,MVV,2,0
1956-1957,1957-01-06,DOS,NOAD,3,1
1956-1957,1957-01-06,Feijenoord,Elinkwijk,3,1
1956-1957,1957-01-06,Fortuna `54,Sparta,1,1
1956-1957,1957-01-06,PSV,GVAV,5,2
1956-1957,1957-01-06,SC Enschede,Eindhoven,6,1
1956-1957,1957-01-06,VVV,NAC,1,0
1956-1957,1957-01-06,Willem II,Rapid JC,1,2
1956-1957,1957-01-13,BVC Amsterdam,Feijenoord,2,1
1956-1957,1957-01-13,Eindhoven,PSV,0,2
1956-1957,1957-01-13,GVAV,Fortuna `54,2,0
1956-1957,1957-01-13,MVV,SC Enschede,0,0
1956-1957,1957-01-13,NAC,DOS,4,4
1956-1957,1957-01-13,NOAD,Ajax,1,4
1956-1957,1957-01-13,Rapid JC,BVV,4,3
1956-1957,1957-01-13,Sparta,VVV,1,1
1956-1957,1957-01-20,BVC Amsterdam,NOAD,1,0
1956-1957,1957-01-20,Eindhoven,Fortuna `54,1,5
1956-1957,1957-01-20,Elinkwijk,BVV,4,2
1956-1957,1957-01-20,Feijenoord,Willem II,2,1
1956-1957,1957-01-20,GVAV,VVV,0,1
1956-1957,1957-01-20,MVV,PSV,5,0
1956-1957,1957-01-20,NAC,Ajax,1,1
1956-1957,1957-01-20,Sparta,DOS,4,2
1956-1957,1957-01-27,Ajax,Sparta,2,1
1956-1957,1957-01-27,BVV,Feijenoord,0,5
1956-1957,1957-01-27,DOS,GVAV,7,1
1956-1957,1957-01-27,Fortuna `54,MVV,1,1
1956-1957,1957-01-27,NOAD,NAC,2,1
1956-1957,1957-01-27,PSV,Rapid JC,4,1
1956-1957,1957-01-27,SC Enschede,Elinkwijk,4,2
1956-1957,1957-01-27,VVV,Eindhoven,2,1
1956-1957,1957-01-27,Willem II,BVC Amsterdam,1,2
1956-1957,1957-02-03,BVC Amsterdam,NAC,0,1
1956-1957,1957-02-03,Eindhoven,DOS,0,1
1956-1957,1957-02-03,Elinkwijk,PSV,0,6
1956-1957,1957-02-03,Feijenoord,SC Enschede,2,2
1956-1957,1957-02-03,GVAV,Ajax,1,1
1956-1957,1957-02-03,MVV,VVV,1,0
1956-1957,1957-02-03,Rapid JC,Fortuna `54,0,1
1956-1957,1957-02-03,Sparta,NOAD,2,1
1956-1957,1957-02-03,Willem II,BVV,1,0
1956-1957,1957-02-10,Ajax,Eindhoven,3,1
1956-1957,1957-02-10,BVV,BVC Amsterdam,5,2
1956-1957,1957-02-10,DOS,MVV,1,2
1956-1957,1957-02-10,Fortuna `54,Elinkwijk,8,1
1956-1957,1957-02-10,NAC,Sparta,3,4
1956-1957,1957-02-10,NOAD,GVAV,3,2
1956-1957,1957-02-10,PSV,Feijenoord,3,1
1956-1957,1957-02-10,SC Enschede,Willem II,5,1
1956-1957,1957-02-10,VVV,Rapid JC,2,1
1956-1957,1957-02-17,BVC Amsterdam,Sparta,1,1
1956-1957,1957-02-17,BVV,SC Enschede,2,2
1956-1957,1957-02-17,Eindhoven,NOAD,3,1
1956-1957,1957-02-17,Elinkwijk,VVV,2,2
1956-1957,1957-02-17,Feijenoord,Fortuna `54,4,0
1956-1957,1957-02-17,GVAV,NAC,1,2
1956-1957,1957-02-17,MVV,Ajax,1,1
1956-1957,1957-02-17,Rapid JC,DOS,0,3
1956-1957,1957-02-17,Willem II,PSV,0,6
1956-1957,1957-02-24,Ajax,Rapid JC,1,0
1956-1957,1957-02-24,DOS,Elinkwijk,2,3
1956-1957,1957-02-24,Fortuna `54,Willem II,0,1
1956-1957,1957-02-24,NOAD,MVV,0,0
1956-1957,1957-02-24,PSV,BVV,2,5
1956-1957,1957-02-24,SC Enschede,BVC Amsterdam,1,2
1956-1957,1957-02-24,Sparta,GVAV,2,2
1956-1957,1957-02-24,VVV,Feijenoord,2,2
1956-1957,1957-03-03,Elinkwijk,Willem II,3,1
1956-1957,1957-03-03,NAC,Eindhoven,0,1
1956-1957,1957-03-03,Rapid JC,GVAV,2,2
1956-1957,1957-03-03,SC Enschede,DOS,1,2
1956-1957,1957-03-10,BVC Amsterdam,GVAV,0,1
1956-1957,1957-03-10,BVV,Fortuna `54,1,3
1956-1957,1957-03-10,Eindhoven,Sparta,3,2
1956-1957,1957-03-10,Elinkwijk,Ajax,1,2
1956-1957,1957-03-10,Feijenoord,DOS,5,1
1956-1957,1957-03-10,MVV,NAC,1,3
1956-1957,1957-03-10,Rapid JC,NOAD,1,3
1956-1957,1957-03-10,SC Enschede,PSV,2,2
1956-1957,1957-03-10,Willem II,VVV,6,3
1956-1957,1957-03-17,Ajax,Feijenoord,1,0
1956-1957,1957-03-17,DOS,Willem II,4,1
1956-1957,1957-03-17,Fortuna `54,SC Enschede,4,1
1956-1957,1957-03-17,GVAV,Eindhoven,1,1
1956-1957,1957-03-17,NAC,Rapid JC,1,1
1956-1957,1957-03-17,NOAD,Elinkwijk,3,3
1956-1957,1957-03-17,PSV,BVC Amsterdam,2,2
1956-1957,1957-03-17,VVV,BVV,3,1
1956-1957,1957-03-24,BVC Amsterdam,Eindhoven,2,1
1956-1957,1957-03-24,BVV,DOS,4,0
1956-1957,1957-03-24,Elinkwijk,NAC,2,1
1956-1957,1957-03-24,Feijenoord,NOAD,5,2
1956-1957,1957-03-24,MVV,GVAV,2,0
1956-1957,1957-03-24,PSV,Fortuna `54,1,2
1956-1957,1957-03-24,Rapid JC,Sparta,0,0
1956-1957,1957-03-24,SC Enschede,VVV,0,0
1956-1957,1957-03-24,Willem II,Ajax,0,1
1956-1957,1957-03-27,BVC Amsterdam,Fortuna `54,1,1
1956-1957,1957-03-31,Ajax,BVV,1,0
1956-1957,1957-03-31,DOS,SC Enschede,1,4
1956-1957,1957-03-31,Eindhoven,MVV,0,3
1956-1957,1957-03-31,Fortuna `54,BVC Amsterdam,3,0
1956-1957,1957-03-31,GVAV,Rapid JC,1,3
1956-1957,1957-03-31,NAC,Feijenoord,1,1
1956-1957,1957-03-31,NOAD,Willem II,1,0
1956-1957,1957-03-31,Sparta,Elinkwijk,3,0
1956-1957,1957-03-31,VVV,PSV,1,5
1956-1957,1957-04-07,BVC Amsterdam,MVV,3,0
1956-1957,1957-04-07,BVV,NOAD,6,0
1956-1957,1957-04-07,Elinkwijk,GVAV,0,5
1956-1957,1957-04-07,Feijenoord,Sparta,0,3
1956-1957,1957-04-07,Fortuna `54,VVV,3,1
1956-1957,1957-04-07,PSV,DOS,3,2
1956-1957,1957-04-07,Rapid JC,Eindhoven,0,1
1956-1957,1957-04-07,SC Enschede,Ajax,0,1
1956-1957,1957-04-07,Willem II,NAC,2,4
1956-1957,1957-04-14,Ajax,PSV,1,0
1956-1957,1957-04-14,DOS,Fortuna `54,3,1
1956-1957,1957-04-14,Eindhoven,Elinkwijk,1,0
1956-1957,1957-04-14,GVAV,Feijenoord,4,2
1956-1957,1957-04-14,MVV,Rapid JC,2,0
1956-1957,1957-04-14,NAC,BVV,1,0
1956-1957,1957-04-14,NOAD,SC Enschede,3,1
1956-1957,1957-04-14,Sparta,Willem II,3,1
1956-1957,1957-04-14,VVV,BVC Amsterdam,3,2
1956-1957,1957-04-17,Rapid JC,SC Enschede,1,1
1956-1957,1957-04-22,BVC Amsterdam,Rapid JC,0,5
1956-1957,1957-04-22,BVV,Sparta,2,2
1956-1957,1957-04-22,Elinkwijk,MVV,0,0
1956-1957,1957-04-22,Feijenoord,Eindhoven,4,0
1956-1957,1957-04-22,Fortuna `54,Ajax,2,3
1956-1957,1957-04-22,PSV,NOAD,3,3
1956-1957,1957-04-22,SC Enschede,NAC,3,0
1956-1957,1957-04-22,VVV,DOS,0,1
1956-1957,1957-04-22,Willem II,GVAV,0,0
1956-1957,1957-04-28,GVAV,SC Enschede,0,3
1956-1957,1957-04-28,Sparta,MVV,3,2
1956-1957,1957-04-28,Willem II,NOAD,1,2
1956-1957,1957-05-05,Ajax,VVV,1,1
1956-1957,1957-05-05,DOS,BVC Amsterdam,3,2
1956-1957,1957-05-05,Eindhoven,Willem II,2,3
1956-1957,1957-05-05,GVAV,BVV,3,2
1956-1957,1957-05-05,MVV,Feijenoord,0,0
1956-1957,1957-05-05,NAC,PSV,3,0
1956-1957,1957-05-05,NOAD,Fortuna `54,1,2
1956-1957,1957-05-05,Rapid JC,Elinkwijk,2,1
1956-1957,1957-05-05,Sparta,SC Enschede,2,0
1956-1957,1957-05-12,BVC Amsterdam,Elinkwijk,1,2
1956-1957,1957-05-12,BVV,Eindhoven,1,3
1956-1957,1957-05-12,DOS,Ajax,0,2
1956-1957,1957-05-12,Feijenoord,Rapid JC,2,3
1956-1957,1957-05-12,Fortuna `54,NAC,2,1
1956-1957,1957-05-12,PSV,Sparta,3,1
1956-1957,1957-05-12,SC Enschede,GVAV,1,1
1956-1957,1957-05-12,Willem II,MVV,5,2
1956-1957,1957-05-19,BVC Amsterdam,Ajax,1,5
1956-1957,1957-05-19,Eindhoven,SC Enschede,3,2
1956-1957,1957-05-19,Elinkwijk,Feijenoord,5,1
1956-1957,1957-05-19,GVAV,PSV,1,5
1956-1957,1957-05-19,MVV,BVV,3,0
1956-1957,1957-05-19,NAC,VVV,3,1
1956-1957,1957-05-19,NOAD,DOS,4,2
1956-1957,1957-05-19,Rapid JC,Willem II,3,3
1956-1957,1957-05-19,Sparta,Fortuna `54,0,0
1956-1957,1957-05-23,VVV,NOAD,2,1
1956-1957,1957-05-30,Ajax,NOAD,2,1
1956-1957,1957-06-02,BVV,Rapid JC,3,1
1956-1957,1957-06-02,DOS,NAC,4,1
1956-1957,1957-06-02,Feijenoord,BVC Amsterdam,2,2
1956-1957,1957-06-02,Fortuna `54,GVAV,3,2
1956-1957,1957-06-02,PSV,Eindhoven,7,4
1956-1957,1957-06-02,SC Enschede,MVV,7,2
1956-1957,1957-06-02,VVV,Sparta,2,1
1956-1957,1957-06-02,Willem II,Elinkwijk,4,0
1957-1958,1957-08-25,Ajax,MVV,4,0
1957-1958,1957-08-25,BVC Amsterdam,NAC,3,2
1957-1958,1957-08-25,BVV,Rapid JC,2,2
1957-1958,1957-08-25,Elinkwijk,ADO,1,4
1957-1958,1957-08-25,Feijenoord,DOS,4,4
1957-1958,1957-08-25,Fortuna `54,GVAV,1,2
1957-1958,1957-08-25,NOAD,Sparta,0,3
1957-1958,1957-08-25,SC Enschede,PSV,5,4
1957-1958,1957-08-25,VVV,Blauw Wit,2,0
1957-1958,1957-09-01,ADO,VVV,1,0
1957-1958,1957-09-01,Blauw Wit,NOAD,1,2
1957-1958,1957-09-01,BVV,NAC,1,2
1957-1958,1957-09-01,DOS,Fortuna `54,1,0
1957-1958,1957-09-01,GVAV,BVC Amsterdam,2,1
1957-1958,1957-09-01,MVV,Elinkwijk,6,2
1957-1958,1957-09-01,Rapid JC,PSV,3,1
1957-1958,1957-09-01,SC Enschede,Ajax,0,3
1957-1958,1957-09-01,Sparta,Feijenoord,4,2
1957-1958,1957-09-08,Ajax,PSV,1,2
1957-1958,1957-09-08,BVC Amsterdam,DOS,0,0
1957-1958,1957-09-08,BVV,GVAV,2,2
1957-1958,1957-09-08,Elinkwijk,SC Enschede,1,0
1957-1958,1957-09-08,Feijenoord,Blauw Wit,3,1
1957-1958,1957-09-08,Fortuna `54,Sparta,1,3
1957-1958,1957-09-08,NAC,Rapid JC,0,3
1957-1958,1957-09-08,NOAD,ADO,2,3
1957-1958,1957-09-08,VVV,MVV,0,1
1957-1958,1957-09-15,ADO,Feijenoord,6,3
1957-1958,1957-09-15,Blauw Wit,Fortuna `54,3,3
1957-1958,1957-09-15,DOS,BVV,2,1
1957-1958,1957-09-15,GVAV,NAC,1,3
1957-1958,1957-09-15,MVV,NOAD,3,1
1957-1958,1957-09-15,PSV,Elinkwijk,1,0
1957-1958,1957-09-15,Rapid JC,Ajax,2,1
1957-1958,1957-09-15,SC Enschede,VVV,3,0
1957-1958,1957-09-15,Sparta,BVC Amsterdam,5,1
1957-1958,1957-09-22,BVC Amsterdam,Blauw Wit,1,3
1957-1958,1957-09-22,BVV,Sparta,6,4
1957-1958,1957-09-22,Elinkwijk,Ajax,0,3
1957-1958,1957-09-22,Feijenoord,MVV,3,1
1957-1958,1957-09-22,Fortuna `54,ADO,2,1
1957-1958,1957-09-22,GVAV,Rapid JC,2,3
1957-1958,1957-09-22,NAC,DOS,4,0
1957-1958,1957-09-22,NOAD,SC Enschede,2,6
1957-1958,1957-09-22,VVV,PSV,4,1
1957-1958,1957-09-29,ADO,BVC Amsterdam,3,3
1957-1958,1957-09-29,Ajax,VVV,2,1
1957-1958,1957-09-29,Blauw Wit,BVV,1,2
1957-1958,1957-09-29,DOS,GVAV,4,2
1957-1958,1957-09-29,MVV,Fortuna `54,1,2
1957-1958,1957-09-29,PSV,NOAD,2,2
1957-1958,1957-09-29,Rapid JC,Elinkwijk,2,1
1957-1958,1957-09-29,SC Enschede,Feijenoord,4,2
1957-1958,1957-09-29,Sparta,NAC,0,1
1957-1958,1957-10-06,BVC Amsterdam,MVV,3,2
1957-1958,1957-10-06,BVV,ADO,2,4
1957-1958,1957-10-06,DOS,Rapid JC,3,2
1957-1958,1957-10-06,Feijenoord,PSV,3,2
1957-1958,1957-10-06,Fortuna `54,SC Enschede,0,2
1957-1958,1957-10-06,GVAV,Sparta,4,0
1957-1958,1957-10-06,NAC,Blauw Wit,2,5
1957-1958,1957-10-06,NOAD,Ajax,1,3
1957-1958,1957-10-06,VVV,Elinkwijk,3,2
1957-1958,1957-10-13,ADO,NAC,5,0
1957-1958,1957-10-13,Ajax,Feijenoord,1,2
1957-1958,1957-10-13,Blauw Wit,GVAV,2,3
1957-1958,1957-10-13,Elinkwijk,NOAD,1,2
1957-1958,1957-10-13,MVV,BVV,9,0
1957-1958,1957-10-13,PSV,Fortuna `54,2,3
1957-1958,1957-10-13,Rapid JC,VVV,2,1
1957-1958,1957-10-13,SC Enschede,BVC Amsterdam,0,0
1957-1958,1957-10-13,Sparta,DOS,1,7
1957-1958,1957-10-20,BVC Amsterdam,PSV,0,2
1957-1958,1957-10-20,BVV,SC Enschede,1,1
1957-1958,1957-10-20,DOS,Blauw Wit,0,0
1957-1958,1957-10-20,Feijenoord,Elinkwijk,5,2
1957-1958,1957-10-20,Fortuna `54,Ajax,1,1
1957-1958,1957-10-20,GVAV,ADO,3,2
1957-1958,1957-10-20,NAC,MVV,0,1
1957-1958,1957-10-20,NOAD,VVV,2,1
1957-1958,1957-10-20,Sparta,Rapid JC,2,1
1957-1958,1957-10-27,ADO,DOS,6,2
1957-1958,1957-10-27,Ajax,BVC Amsterdam,3,4
1957-1958,1957-10-27,Blauw Wit,Sparta,0,0
1957-1958,1957-10-27,Elinkwijk,Fortuna `54,1,1
1957-1958,1957-10-27,MVV,GVAV,1,1
1957-1958,1957-10-27,PSV,BVV,5,3
1957-1958,1957-10-27,Rapid JC,NOAD,3,1
1957-1958,1957-10-27,SC Enschede,NAC,3,0
1957-1958,1957-10-27,VVV,Feijenoord,4,0
1957-1958,1957-11-01,NOAD,Fortuna `54,1,0
1957-1958,1957-11-03,Blauw Wit,Rapid JC,1,0
1957-1958,1957-11-03,BVC Amsterdam,Elinkwijk,0,1
1957-1958,1957-11-03,BVV,Ajax,0,1
1957-1958,1957-11-03,DOS,MVV,2,1
1957-1958,1957-11-03,Feijenoord,NOAD,4,0
1957-1958,1957-11-03,Fortuna `54,VVV,2,2
1957-1958,1957-11-03,GVAV,SC Enschede,2,2
1957-1958,1957-11-03,NAC,PSV,1,6
1957-1958,1957-11-03,Sparta,ADO,2,2
1957-1958,1957-11-10,ADO,Blauw Wit,1,0
1957-1958,1957-11-10,Ajax,NAC,3,1
1957-1958,1957-11-10,Elinkwijk,BVV,0,4
1957-1958,1957-11-10,MVV,Sparta,1,1
1957-1958,1957-11-10,PSV,GVAV,1,0
1957-1958,1957-11-10,Rapid JC,Feijenoord,3,2
1957-1958,1957-11-10,SC Enschede,DOS,0,0
1957-1958,1957-11-10,VVV,BVC Amsterdam,1,0
1957-1958,1957-11-24,ADO,Rapid JC,2,1
1957-1958,1957-11-24,Blauw Wit,MVV,1,3
1957-1958,1957-11-24,BVC Amsterdam,NOAD,1,1
1957-1958,1957-11-24,BVV,VVV,3,3
1957-1958,1957-11-24,DOS,PSV,2,2
1957-1958,1957-11-24,Fortuna `54,Feijenoord,2,1
1957-1958,1957-11-24,GVAV,Ajax,0,1
1957-1958,1957-11-24,NAC,Elinkwijk,1,2
1957-1958,1957-11-24,Sparta,SC Enschede,1,1
1957-1958,1957-12-01,Ajax,DOS,1,0
1957-1958,1957-12-01,Elinkwijk,GVAV,2,3
1957-1958,1957-12-01,Feijenoord,BVC Amsterdam,3,1
1957-1958,1957-12-01,MVV,ADO,1,0
1957-1958,1957-12-01,PSV,Sparta,1,1
1957-1958,1957-12-01,Rapid JC,Fortuna `54,2,3
1957-1958,1957-12-01,SC Enschede,Blauw Wit,3,2
1957-1958,1957-12-01,VVV,NAC,3,3
1957-1958,1957-12-08,ADO,SC Enschede,2,4
1957-1958,1957-12-08,Blauw Wit,PSV,6,3
1957-1958,1957-12-08,BVC Amsterdam,Fortuna `54,4,1
1957-1958,1957-12-08,BVV,Feijenoord,1,3
1957-1958,1957-12-08,DOS,Elinkwijk,4,1
1957-1958,1957-12-08,GVAV,VVV,1,3
1957-1958,1957-12-08,MVV,Rapid JC,1,1
1957-1958,1957-12-08,NAC,NOAD,4,0
1957-1958,1957-12-08,Sparta,Ajax,4,4
1957-1958,1957-12-15,Ajax,Blauw Wit,1,0
1957-1958,1957-12-15,BVC Amsterdam,Rapid JC,2,3
1957-1958,1957-12-15,Elinkwijk,Sparta,3,1
1957-1958,1957-12-15,Feijenoord,NAC,3,1
1957-1958,1957-12-15,Fortuna `54,BVV,3,2
1957-1958,1957-12-15,PSV,ADO,1,1
1957-1958,1957-12-15,VVV,DOS,0,0
1957-1958,1957-12-22,ADO,Ajax,3,1
1957-1958,1957-12-22,Blauw Wit,Elinkwijk,1,1
1957-1958,1957-12-22,BVV,BVC Amsterdam,3,3
1957-1958,1957-12-22,DOS,NOAD,1,1
1957-1958,1957-12-22,GVAV,Feijenoord,3,3
1957-1958,1957-12-22,MVV,PSV,0,1
1957-1958,1957-12-22,NAC,Fortuna `54,4,3
1957-1958,1957-12-22,Rapid JC,SC Enschede,3,4
1957-1958,1957-12-22,Sparta,VVV,1,2
1957-1958,1957-12-26,NOAD,BVV,3,3
1957-1958,1957-12-26,SC Enschede,MVV,2,0
1957-1958,1957-12-29,Feijenoord,Sparta,1,2
1957-1958,1957-12-29,NOAD,GVAV,3,1
1957-1958,1958-01-05,ADO,Elinkwijk,1,0
1957-1958,1958-01-05,DOS,Feijenoord,6,2
1957-1958,1958-01-05,GVAV,Fortuna `54,1,7
1957-1958,1958-01-05,MVV,Ajax,3,0
1957-1958,1958-01-05,PSV,SC Enschede,1,1
1957-1958,1958-01-05,Rapid JC,BVV,4,1
1957-1958,1958-01-05,Sparta,NOAD,8,1
1957-1958,1958-01-12,Ajax,SC Enschede,0,0
1957-1958,1958-01-12,BVC Amsterdam,GVAV,0,0
1957-1958,1958-01-12,Elinkwijk,MVV,3,3
1957-1958,1958-01-12,Fortuna `54,DOS,1,0
1957-1958,1958-01-12,NOAD,Blauw Wit,1,0
1957-1958,1958-01-12,PSV,Rapid JC,4,2
1957-1958,1958-01-12,VVV,ADO,2,0
1957-1958,1958-01-19,ADO,NOAD,0,4
1957-1958,1958-01-19,Blauw Wit,Feijenoord,1,4
1957-1958,1958-01-19,MVV,VVV,0,1
1957-1958,1958-01-19,PSV,Ajax,0,5
1957-1958,1958-01-19,Rapid JC,NAC,1,2
1957-1958,1958-01-19,SC Enschede,Elinkwijk,5,2
1957-1958,1958-01-19,Sparta,Fortuna `54,2,2
1957-1958,1958-02-02,Ajax,Rapid JC,1,1
1957-1958,1958-02-02,BVC Amsterdam,Sparta,2,2
1957-1958,1958-02-02,BVV,DOS,2,4
1957-1958,1958-02-02,Elinkwijk,PSV,3,3
1957-1958,1958-02-02,Feijenoord,ADO,0,1
1957-1958,1958-02-02,Fortuna `54,Blauw Wit,6,2
1957-1958,1958-02-02,NAC,GVAV,4,1
1957-1958,1958-02-02,NOAD,MVV,2,3
1957-1958,1958-02-02,VVV,SC Enschede,3,1
