Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A
N1,31/08/2024,19:00,Heerenveen,NAC Breda,4.0,0.0,H,0.0,0.0,D,16.0,11.0,8.0,1.0,3.0,6.0,10.0,8.0,0.0,1.0,0.0,0.0,1.73,3.8,4.75
N1,31/08/2024,20:00,Willem II,Sparta Rotterdam,1.0,2.0,A,0.0,0.0,D,11.0,14.0,5.0,4.0,4.0,3.0,8.0,7.0,1.0,4.0,0.0,0.0,2.8,3.4,2.5
N1,01/09/2024,11:15,Utrecht,Twente,2.0,1.0,H,1.0,1.0,D,7.0,15.0,4.0,7.0,5.0,4.0,10.0,6.0,0.0,2.0,0.0,0.0,2.88,3.5,2.4
N1,01/09/2024,13:30,Zwolle,Heracles,3.0,0.0,H,1.0,0.0,H,16.0,10.0,5.0,4.0,4.0,4.0,14.0,16.0,1.0,2.0,0.0,0.0,2.0,3.8,3.5
N1,01/09/2024,15:45,PSV Eindhoven,Go Ahead Eagles,3.0,0.0,H,2.0,0.0,H,19.0,9.0,8.0,2.0,5.0,3.0,7.0,8.0,0.0,3.0,0.0,0.0,1.13,9.5,19.0
N1,14/09/2024,15:30,PSV Eindhoven,Nijmegen,2.0,0.0,H,2.0,0.0,H,26.0,2.0,11.0,1.0,15.0,3.0,9.0,5.0,0.0,1.0,0.0,1.0,1.13,9.0,19.0
N1,14/09/2024,15:30,Twente,Zwolle,1.0,1.0,D,0.0,1.0,A,23.0,5.0,12.0,2.0,8.0,4.0,12.0,12.0,1.0,1.0,0.0,0.0,1.29,6.0,9.0
N1,14/09/2024,17:45,Groningen,Feyenoord,2.0,2.0,D,0.0,1.0,A,11.0,15.0,5.0,8.0,5.0,6.0,12.0,13.0,3.0,2.0,0.0,0.0,6.25,4.75,1.45
N1,14/09/2024,19:00,NAC Breda,For Sittard,1.0,0.0,H,0.0,0.0,D,13.0,10.0,3.0,3.0,3.0,8.0,11.0,9.0,2.0,1.0,0.0,0.0,2.9,3.6,2.3
N1,14/09/2024,20:00,AZ Alkmaar,Heerenveen,9.0,1.0,H,2.0,1.0,H,26.0,15.0,19.0,5.0,5.0,3.0,8.0,8.0,0.0,1.0,0.0,0.0,1.42,4.75,7.5
N1,15/09/2024,11:15,Sparta Rotterdam,Go Ahead Eagles,1.0,2.0,A,0.0,1.0,A,16.0,16.0,7.0,3.0,5.0,13.0,6.0,9.0,1.0,1.0,0.0,0.0,2.05,3.6,3.5
N1,15/09/2024,13:30,Willem II,Waalwijk,3.0,0.0,H,2.0,0.0,H,13.0,10.0,5.0,2.0,4.0,4.0,4.0,5.0,2.0,1.0,0.0,0.0,1.91,3.6,4.0
N1,15/09/2024,15:45,Heracles,Almere City,0.0,0.0,D,0.0,0.0,D,23.0,10.0,2.0,4.0,10.0,2.0,9.0,8.0,1.0,2.0,0.0,0.0,2.2,3.5,3.2
N1,17/09/2024,19:00,Twente,Heerenveen,2.0,0.0,H,2.0,0.0,H,18.0,12.0,9.0,4.0,6.0,3.0,15.0,13.0,2.0,2.0,0.0,0.0,1.36,6.25,7.0
N1,18/09/2024,19:00,Ajax,For Sittard,5.0,0.0,H,2.0,0.0,H,25.0,4.0,14.0,1.0,15.0,0.0,8.0,6.0,0.0,1.0,0.0,1.0,1.4,5.0,6.5
N1,20/09/2024,19:00,Zwolle,AZ Alkmaar,1.0,2.0,A,0.0,1.0,A,16.0,18.0,2.0,6.0,10.0,9.0,14.0,14.0,2.0,4.0,0.0,0.0,6.5,5.0,1.42
N1,21/09/2024,15:30,Utrecht,Willem II,3.0,2.0,H,2.0,2.0,D,15.0,8.0,2.0,3.0,7.0,7.0,5.0,13.0,2.0,3.0,0.0,0.0,1.57,4.0,5.75
N1,21/09/2024,17:45,Waalwijk,Sparta Rotterdam,1.0,2.0,A,0.0,1.0,A,27.0,14.0,10.0,5.0,6.0,2.0,10.0,10.0,0.0,1.0,0.0,0.0,3.4,3.7,2.05
N1,21/09/2024,19:00,Go Ahead Eagles,Ajax,1.0,1.0,D,0.0,0.0,D,9.0,8.0,4.0,3.0,7.0,2.0,9.0,11.0,2.0,2.0,0.0,0.0,4.2,4.0,1.75
N1,21/09/2024,20:00,Nijmegen,Heracles,1.0,2.0,A,1.0,2.0,A,21.0,11.0,9.0,4.0,7.0,3.0,16.0,15.0,3.0,4.0,0.0,0.0,1.57,4.33,5.5
N1,22/09/2024,11:15,Heerenveen,Groningen,2.0,1.0,H,1.0,1.0,D,20.0,2.0,6.0,1.0,9.0,3.0,11.0,9.0,1.0,3.0,0.0,2.0,2.5,3.6,2.7
N1,22/09/2024,13:30,Almere City,Twente,0.0,5.0,A,0.0,2.0,A,16.0,16.0,4.0,8.0,7.0,5.0,9.0,5.0,1.0,1.0,0.0,0.0,5.5,5.0,1.5
N1,22/09/2024,13:30,Feyenoord,NAC Breda,2.0,0.0,H,1.0,0.0,H,25.0,5.0,5.0,1.0,5.0,2.0,10.0,15.0,2.0,2.0,0.0,0.0,1.14,8.5,17.0
N1,22/09/2024,15:45,For Sittard,PSV Eindhoven,1.0,3.0,A,1.0,1.0,D,8.0,14.0,4.0,7.0,5.0,6.0,11.0,10.0,3.0,1.0,0.0,0.0,11.0,6.5,1.22
N1,27/09/2024,19:00,Heracles,Heerenveen,2.0,1.0,H,1.0,0.0,H,15.0,13.0,6.0,6.0,9.0,4.0,8.0,14.0,2.0,2.0,0.0,0.0,2.88,3.6,2.38
N1,28/09/2024,15:30,Willem II,PSV Eindhoven,0.0,2.0,A,0.0,0.0,D,8.0,12.0,1.0,3.0,3.0,6.0,11.0,9.0,1.0,2.0,0.0,0.0,10.0,7.0,1.22
N1,28/09/2024,17:45,Nijmegen,Feyenoord,1.0,1.0,D,1.0,0.0,H,10.0,17.0,4.0,6.0,3.0,9.0,9.0,12.0,1.0,1.0,0.0,0.0,5.75,4.33,1.55
N1,28/09/2024,20:00,Sparta Rotterdam,For Sittard,1.0,1.0,D,1.0,1.0,D,19.0,13.0,6.0,5.0,9.0,5.0,12.0,9.0,1.0,2.0,0.0,0.0,1.75,3.7,4.75
