season,date,home_team,away_team,home_score,away_score
1956-1957,1956-09-02,Ajax,NAC Breda,1,0
1956-1957,1956-09-02,BVV Den Bosch,Elinkwijk,1,2
1956-1957,1956-09-02,DOS,Sparta Rotterdam,2,3
1956-1957,1956-09-02,Fortuna Sittard,Eindhoven,4,1
1956-1957,1956-09-02,NOAD,BVC Amsterdam,1,3
1956-1957,1956-09-02,PSV,MVV,1,3
1956-1957,1956-09-02,SC Enschede,Roda JC,5,2
1956-1957,1956-09-02,VVV-Venlo,GVAV,1,0
1956-1957,1956-09-02,Willem II,Feyenoord,3,3
1956-1957,1956-09-09,BVC Amsterdam,Willem II,0,6
1956-1957,1956-09-09,Eindhoven,VVV-Venlo,0,2
1956-1957,1956-09-09,Elinkwijk,SC Enschede,1,5
1956-1957,1956-09-09,Feyenoord,BVV Den Bosch,5,1
1956-1957,1956-09-09,GVAV,DOS,3,2
1956-1957,1956-09-09,MVV,Fortuna Sittard,1,0
1956-1957,1956-09-09,NAC Breda,NOAD,2,2
1956-1957,1956-09-09,Roda JC,PSV,3,1
1956-1957,1956-09-09,Sparta Rotterdam,Ajax,1,2
1956-1957,1956-09-23,Ajax,GVAV,4,2
1956-1957,1956-09-23,BVV Den Bosch,Willem II,3,2
1956-1957,1956-09-23,DOS,Eindhoven,0,1
1956-1957,1956-09-23,Fortuna Sittard,Roda JC,5,0
1956-1957,1956-09-23,NAC Breda,BVC Amsterdam,3,1
1956-1957,1956-09-23,NOAD,Sparta Rotterdam,3,0
1956-1957,1956-09-23,PSV,Elinkwijk,0,3
1956-1957,1956-09-23,SC Enschede,Feyenoord,2,3
1956-1957,1956-09-23,VVV-Venlo,MVV,1,3
1956-1957,1956-09-30,BVC Amsterdam,BVV Den Bosch,3,2
1956-1957,1956-09-30,Eindhoven,Ajax,0,3
1956-1957,1956-09-30,Elinkwijk,Fortuna Sittard,2,2
1956-1957,1956-09-30,Feyenoord,PSV,2,0
1956-1957,1956-09-30,GVAV,NOAD,2,0
1956-1957,1956-09-30,MVV,DOS,2,5
1956-1957,1956-09-30,Roda JC,VVV-Venlo,2,0
1956-1957,1956-09-30,Sparta Rotterdam,NAC Breda,1,4
1956-1957,1956-09-30,Willem II,SC Enschede,2,2
1956-1957,1956-10-07,Ajax,MVV,2,0
1956-1957,1956-10-07,DOS,Roda JC,2,0
1956-1957,1956-10-07,Fortuna Sittard,Feyenoord,3,2
1956-1957,1956-10-07,NAC Breda,GVAV,2,0
1956-1957,1956-10-07,NOAD,Eindhoven,2,0
1956-1957,1956-10-07,PSV,Willem II,3,1
1956-1957,1956-10-07,SC Enschede,BVV Den Bosch,4,1
1956-1957,1956-10-07,Sparta Rotterdam,BVC Amsterdam,1,1
1956-1957,1956-10-07,VVV-Venlo,Elinkwijk,2,1
1956-1957,1956-10-21,BVC Amsterdam,SC Enschede,0,2
1956-1957,1956-10-21,BVV Den Bosch,PSV,0,3
1956-1957,1956-10-21,Eindhoven,NAC Breda,2,2
1956-1957,1956-10-21,Elinkwijk,DOS,1,6
1956-1957,1956-10-21,Feyenoord,VVV-Venlo,3,0
1956-1957,1956-10-21,GVAV,Sparta Rotterdam,2,2
1956-1957,1956-10-21,MVV,NOAD,3,0
1956-1957,1956-10-21,Roda JC,Ajax,4,2
1956-1957,1956-10-21,Willem II,Fortuna Sittard,2,3
1956-1957,1956-10-28,Ajax,Elinkwijk,1,0
1956-1957,1956-10-28,DOS,Feyenoord,4,0
1956-1957,1956-10-28,Fortuna Sittard,BVV Den Bosch,4,1
1956-1957,1956-10-28,GVAV,BVC Amsterdam,1,1
1956-1957,1956-10-28,NAC Breda,MVV,2,1
1956-1957,1956-10-28,NOAD,Roda JC,3,2
1956-1957,1956-10-28,PSV,SC Enschede,1,5
1956-1957,1956-10-28,Sparta Rotterdam,Eindhoven,6,0
1956-1957,1956-10-28,VVV-Venlo,Willem II,3,1
1956-1957,1956-11-11,BVC Amsterdam,PSV,1,3
1956-1957,1956-11-11,BVV Den Bosch,VVV-Venlo,1,4
1956-1957,1956-11-11,Eindhoven,GVAV,1,1
1956-1957,1956-11-11,Elinkwijk,NOAD,2,3
1956-1957,1956-11-11,Feyenoord,Ajax,7,3
1956-1957,1956-11-11,MVV,Sparta Rotterdam,3,2
1956-1957,1956-11-11,Roda JC,NAC Breda,5,1
1956-1957,1956-11-11,SC Enschede,Fortuna Sittard,4,1
1956-1957,1956-11-11,Willem II,DOS,2,3
1956-1957,1956-11-18,Ajax,Willem II,5,0
1956-1957,1956-11-18,DOS,BVV Den Bosch,1,3
1956-1957,1956-11-18,Eindhoven,BVC Amsterdam,1,1
1956-1957,1956-11-18,Fortuna Sittard,PSV,1,3
1956-1957,1956-11-18,GVAV,MVV,0,0
1956-1957,1956-11-18,NAC Breda,Elinkwijk,2,1
1956-1957,1956-11-18,NOAD,Feyenoord,0,0
1956-1957,1956-11-18,Sparta Rotterdam,Roda JC,4,3
1956-1957,1956-11-25,Elinkwijk,Sparta Rotterdam,1,3
1956-1957,1956-11-25,Feyenoord,NAC Breda,2,2
1956-1957,1956-11-25,MVV,Eindhoven,3,0
1956-1957,1956-11-25,PSV,VVV-Venlo,0,1
1956-1957,1956-12-02,Ajax,SC Enschede,1,2
1956-1957,1956-12-02,DOS,PSV,2,8
1956-1957,1956-12-02,Eindhoven,Roda JC,0,2
1956-1957,1956-12-02,GVAV,Elinkwijk,1,2
1956-1957,1956-12-02,MVV,BVC Amsterdam,2,0
1956-1957,1956-12-02,NAC Breda,Willem II,2,1
1956-1957,1956-12-02,NOAD,BVV Den Bosch,0,0
1956-1957,1956-12-02,Sparta Rotterdam,Feyenoord,0,4
1956-1957,1956-12-02,VVV-Venlo,Fortuna Sittard,2,3
1956-1957,1956-12-09,BVC Amsterdam,VVV-Venlo,4,1
1956-1957,1956-12-09,BVV Den Bosch,NAC Breda,8,0
1956-1957,1956-12-09,Elinkwijk,Eindhoven,5,2
1956-1957,1956-12-09,Feyenoord,GVAV,2,1
1956-1957,1956-12-09,Fortuna Sittard,DOS,4,1
1956-1957,1956-12-09,PSV,Ajax,2,3
1956-1957,1956-12-09,Roda JC,MVV,1,1
1956-1957,1956-12-09,SC Enschede,NOAD,1,1
1956-1957,1956-12-09,Willem II,Sparta Rotterdam,0,0
1956-1957,1956-12-16,Ajax,Fortuna Sittard,0,2
1956-1957,1956-12-16,DOS,VVV-Venlo,1,3
1956-1957,1956-12-16,Eindhoven,Feyenoord,0,1
1956-1957,1956-12-16,GVAV,Willem II,5,3
1956-1957,1956-12-16,MVV,Elinkwijk,2,0
1956-1957,1956-12-16,NAC Breda,SC Enschede,1,1
1956-1957,1956-12-16,NOAD,PSV,2,3
1956-1957,1956-12-16,Roda JC,BVC Amsterdam,2,2
1956-1957,1956-12-16,Sparta Rotterdam,BVV Den Bosch,3,3
1956-1957,1956-12-23,BVC Amsterdam,DOS,1,2
1956-1957,1956-12-23,BVV Den Bosch,GVAV,1,2
1956-1957,1956-12-23,Elinkwijk,Roda JC,1,4
1956-1957,1956-12-23,Feyenoord,MVV,2,2
1956-1957,1956-12-23,Fortuna Sittard,NOAD,0,3
1956-1957,1956-12-23,PSV,NAC Breda,2,5
1956-1957,1956-12-23,SC Enschede,Sparta Rotterdam,1,1
1956-1957,1956-12-23,VVV-Venlo,Ajax,0,0
1956-1957,1956-12-23,Willem II,Eindhoven,3,2
1956-1957,1956-12-26,BVV Den Bosch,Ajax,3,1
1956-1957,1956-12-26,VVV-Venlo,SC Enschede,0,1
1956-1957,1956-12-30,Ajax,DOS,1,2
1956-1957,1956-12-30,Eindhoven,BVV Den Bosch,2,3
1956-1957,1956-12-30,Elinkwijk,BVC Amsterdam,0,2
1956-1957,1956-12-30,MVV,Willem II,0,0
1956-1957,1956-12-30,NAC Breda,Fortuna Sittard,0,2
1956-1957,1956-12-30,NOAD,VVV-Venlo,1,2
1956-1957,1956-12-30,Roda JC,Feyenoord,4,1
1956-1957,1956-12-30,Sparta Rotterdam,PSV,3,4
1956-1957,1957-01-06,Ajax,BVC Amsterdam,2,3
1956-1957,1957-01-06,BVV Den Bosch,MVV,2,0
1956-1957,1957-01-06,DOS,NOAD,3,1
1956-1957,1957-01-06,Feyenoord,Elinkwijk,3,1
1956-1957,1957-01-06,Fortuna Sittard,Sparta Rotterdam,1,1
1956-1957,1957-01-06,PSV,GVAV,5,2
1956-1957,1957-01-06,SC Enschede,Eindhoven,6,1
1956-1957,1957-01-06,VVV-Venlo,NAC Breda,1,0
1956-1957,1957-01-06,Willem II,Roda JC,1,2
1956-1957,1957-01-13,BVC Amsterdam,Feyenoord,2,1
1956-1957,1957-01-13,Eindhoven,PSV,0,2
1956-1957,1957-01-13,GVAV,Fortuna Sittard,2,0
1956-1957,1957-01-13,MVV,SC Enschede,0,0
1956-1957,1957-01-13,NAC Breda,DOS,4,4
1956-1957,1957-01-13,NOAD,Ajax,1,4
1956-1957,1957-01-13,Roda JC,BVV Den Bosch,4,3
1956-1957,1957-01-13,Sparta Rotterdam,VVV-Venlo,1,1
1956-1957,1957-01-20,BVC Amsterdam,NOAD,1,0
1956-1957,1957-01-20,Eindhoven,Fortuna Sittard,1,5
1956-1957,1957-01-20,Elinkwijk,BVV Den Bosch,4,2
1956-1957,1957-01-20,Feyenoord,Willem II,2,1
1956-1957,1957-01-20,GVAV,VVV-Venlo,0,1
1956-1957,1957-01-20,MVV,PSV,5,0
1956-1957,1957-01-20,NAC Breda,Ajax,1,1
1956-1957,1957-01-20,Sparta Rotterdam,DOS,4,2
1956-1957,1957-01-27,Ajax,Sparta Rotterdam,2,1
1956-1957,1957-01-27,BVV Den Bosch,Feyenoord,0,5
1956-1957,1957-01-27,DOS,GVAV,7,1
1956-1957,1957-01-27,Fortuna Sittard,MVV,1,1
1956-1957,1957-01-27,NOAD,NAC Breda,2,1
1956-1957,1957-01-27,PSV,Roda JC,4,1
1956-1957,1957-01-27,SC Enschede,Elinkwijk,4,2
1956-1957,1957-01-27,VVV-Venlo,Eindhoven,2,1
1956-1957,1957-01-27,Willem II,BVC Amsterdam,1,2
1956-1957,1957-02-03,BVC Amsterdam,NAC Breda,0,1
1956-1957,1957-02-03,Eindhoven,DOS,0,1
1956-1957,1957-02-03,Elinkwijk,PSV,0,6
1956-1957,1957-02-03,Feyenoord,SC Enschede,2,2
1956-1957,1957-02-03,GVAV,Ajax,1,1
1956-1957,1957-02-03,MVV,VVV-Venlo,1,0
1956-1957,1957-02-03,Roda JC,Fortuna Sittard,0,1
1956-1957,1957-02-03,Sparta Rotterdam,NOAD,2,1
1956-1957,1957-02-03,Willem II,BVV Den Bosch,1,0
1956-1957,1957-02-10,Ajax,Eindhoven,3,1
1956-1957,1957-02-10,BVV Den Bosch,BVC Amsterdam,5,2
1956-1957,1957-02-10,DOS,MVV,1,2
1956-1957,1957-02-10,Fortuna Sittard,Elinkwijk,8,1
1956-1957,1957-02-10,NAC Breda,Sparta Rotterdam,3,4
1956-1957,1957-02-10,NOAD,GVAV,3,2
1956-1957,1957-02-10,PSV,Feyenoord,3,1
1956-1957,1957-02-10,SC Enschede,Willem II,5,1
1956-1957,1957-02-10,VVV-Venlo,Roda JC,2,1
1956-1957,1957-02-17,BVC Amsterdam,Sparta Rotterdam,1,1
1956-1957,1957-02-17,BVV Den Bosch,SC Enschede,2,2
1956-1957,1957-02-17,Eindhoven,NOAD,3,1
1956-1957,1957-02-17,Elinkwijk,VVV-Venlo,2,2
1956-1957,1957-02-17,Feyenoord,Fortuna Sittard,4,0
1956-1957,1957-02-17,GVAV,NAC Breda,1,2
1956-1957,1957-02-17,MVV,Ajax,1,1
1956-1957,1957-02-17,Roda JC,DOS,0,3
1956-1957,1957-02-17,Willem II,PSV,0,6
1956-1957,1957-02-24,Ajax,Roda JC,1,0
1956-1957,1957-02-24,DOS,Elinkwijk,2,3
1956-1957,1957-02-24,Fortuna Sittard,Willem II,0,1
1956-1957,1957-02-24,NOAD,MVV,0,0
1956-1957,1957-02-24,PSV,BVV Den Bosch,2,5
1956-1957,1957-02-24,SC Enschede,BVC Amsterdam,1,2
1956-1957,1957-02-24,Sparta Rotterdam,GVAV,2,2
1956-1957,1957-02-24,VVV-Venlo,Feyenoord,2,2
1956-1957,1957-03-03,Elinkwijk,Willem II,3,1
1956-1957,1957-03-03,NAC Breda,Eindhoven,0,1
1956-1957,1957-03-03,Roda JC,GVAV,2,2
1956-1957,1957-03-03,SC Enschede,DOS,1,2
1956-1957,1957-03-10,BVC Amsterdam,GVAV,0,1
1956-1957,1957-03-10,BVV Den Bosch,Fortuna Sittard,1,3
1956-1957,1957-03-10,Eindhoven,Sparta Rotterdam,3,2
1956-1957,1957-03-10,Elinkwijk,Ajax,1,2
1956-1957,1957-03-10,Feyenoord,DOS,5,1
1956-1957,1957-03-10,MVV,NAC Breda,1,3
1956-1957,1957-03-10,Roda JC,NOAD,1,3
1956-1957,1957-03-10,SC Enschede,PSV,2,2
1956-1957,1957-03-10,Willem II,VVV-Venlo,6,3
1956-1957,1957-03-17,Ajax,Feyenoord,1,0
1956-1957,1957-03-17,DOS,Willem II,4,1
1956-1957,1957-03-17,Fortuna Sittard,SC Enschede,4,1
1956-1957,1957-03-17,GVAV,Eindhoven,1,1
1956-1957,1957-03-17,NAC Breda,Roda JC,1,1
1956-1957,1957-03-17,NOAD,Elinkwijk,3,3
1956-1957,1957-03-17,PSV,BVC Amsterdam,2,2
1956-1957,1957-03-17,VVV-Venlo,BVV Den Bosch,3,1
1956-1957,1957-03-24,BVC Amsterdam,Eindhoven,2,1
1956-1957,1957-03-24,BVV Den Bosch,DOS,4,0
1956-1957,1957-03-24,Elinkwijk,NAC Breda,2,1
1956-1957,1957-03-24,Feyenoord,NOAD,5,2
1956-1957,1957-03-24,MVV,GVAV,2,0
1956-1957,1957-03-24,PSV,Fortuna Sittard,1,2
1956-1957,1957-03-24,Roda JC,Sparta Rotterdam,0,0
1956-1957,1957-03-24,SC Enschede,VVV-Venlo,0,0
1956-1957,1957-03-24,Willem II,Ajax,0,1
1956-1957,1957-03-27,BVC Amsterdam,Fortuna Sittard,1,1
1956-1957,1957-03-31,Ajax,BVV Den Bosch,1,0
1956-1957,1957-03-31,DOS,SC Enschede,1,4
1956-1957,1957-03-31,Eindhoven,MVV,0,3
1956-1957,1957-03-31,Fortuna Sittard,BVC Amsterdam,3,0
1956-1957,1957-03-31,GVAV,Roda JC,1,3
1956-1957,1957-03-31,NAC Breda,Feyenoord,1,1
1956-1957,1957-03-31,NOAD,Willem II,1,0
1956-1957,1957-03-31,Sparta Rotterdam,Elinkwijk,3,0
1956-1957,1957-03-31,VVV-Venlo,PSV,1,5
1956-1957,1957-04-07,BVC Amsterdam,MVV,3,0
1956-1957,1957-04-07,BVV Den Bosch,NOAD,6,0
1956-1957,1957-04-07,Elinkwijk,GVAV,0,5
1956-1957,1957-04-07,Feyenoord,Sparta Rotterdam,0,3
1956-1957,1957-04-07,Fortuna Sittard,VVV-Venlo,3,1
1956-1957,1957-04-07,PSV,DOS,3,2
1956-1957,1957-04-07,Roda JC,Eindhoven,0,1
1956-1957,1957-04-07,SC Enschede,Ajax,0,1
1956-1957,1957-04-07,Willem II,NAC Breda,2,4
1956-1957,1957-04-14,Ajax,PSV,1,0
1956-1957,1957-04-14,DOS,Fortuna Sittard,3,1
1956-1957,1957-04-14,Eindhoven,Elinkwijk,1,0
1956-1957,1957-04-14,GVAV,Feyenoord,4,2
1956-1957,1957-04-14,MVV,Roda JC,2,0
1956-1957,1957-04-14,NAC Breda,BVV Den Bosch,1,0
1956-1957,1957-04-14,NOAD,SC Enschede,3,1
1956-1957,1957-04-14,Sparta Rotterdam,Willem II,3,1
1956-1957,1957-04-14,VVV-Venlo,BVC Amsterdam,3,2
1956-1957,1957-04-17,Roda JC,SC Enschede,1,1
1956-1957,1957-04-22,BVC Amsterdam,Roda JC,0,5
1956-1957,1957-04-22,BVV Den Bosch,Sparta Rotterdam,2,2
1956-1957,1957-04-22,Elinkwijk,MVV,0,0
1956-1957,1957-04-22,Feyenoord,Eindhoven,4,0
1956-1957,1957-04-22,Fortuna Sittard,Ajax,2,3
1956-1957,1957-04-22,PSV,NOAD,3,3
1956-1957,1957-04-22,SC Enschede,NAC Breda,3,0
1956-1957,1957-04-22,VVV-Venlo,DOS,0,1
1956-1957,1957-04-22,Willem II,GVAV,0,0
1956-1957,1957-04-28,GVAV,SC Enschede,0,3
1956-1957,1957-04-28,Sparta Rotterdam,MVV,3,2
1956-1957,1957-04-28,Willem II,NOAD,1,2
1956-1957,1957-05-05,Ajax,VVV-Venlo,1,1
1956-1957,1957-05-05,DOS,BVC Amsterdam,3,2
1956-1957,1957-05-05,Eindhoven,Willem II,2,3
1956-1957,1957-05-05,GVAV,BVV Den Bosch,3,2
1956-1957,1957-05-05,MVV,Feyenoord,0,0
1956-1957,1957-05-05,NAC Breda,PSV,3,0
1956-1957,1957-05-05,NOAD,Fortuna Sittard,1,2
1956-1957,1957-05-05,Roda JC,Elinkwijk,2,1
1956-1957,1957-05-05,Sparta Rotterdam,SC Enschede,2,0
1956-1957,1957-05-12,BVC Amsterdam,Elinkwijk,1,2
1956-1957,1957-05-12,BVV Den Bosch,Eindhoven,1,3
1956-1957,1957-05-12,DOS,Ajax,0,2
1956-1957,1957-05-12,Feyenoord,Roda JC,2,3
1956-1957,1957-05-12,Fortuna Sittard,NAC Breda,2,1
1956-1957,1957-05-12,PSV,Sparta Rotterdam,3,1
1956-1957,1957-05-12,SC Enschede,GVAV,1,1
1956-1957,1957-05-12,Willem II,MVV,5,2
1956-1957,1957-05-19,BVC Amsterdam,Ajax,1,5
1956-1957,1957-05-19,Eindhoven,SC Enschede,3,2
1956-1957,1957-05-19,Elinkwijk,Feyenoord,5,1
1956-1957,1957-05-19,GVAV,PSV,1,5
1956-1957,1957-05-19,MVV,BVV Den Bosch,3,0
1956-1957,1957-05-19,NAC Breda,VVV-Venlo,3,1
1956-1957,1957-05-19,NOAD,DOS,4,2
1956-1957,1957-05-19,Roda JC,Willem II,3,3
1956-1957,1957-05-19,Sparta Rotterdam,Fortuna Sittard,0,0
1956-1957,1957-05-23,VVV-Venlo,NOAD,2,1
1956-1957,1957-05-30,Ajax,NOAD,2,1
1956-1957,1957-06-02,BVV Den Bosch,Roda JC,3,1
1956-1957,1957-06-02,DOS,NAC Breda,4,1
1956-1957,1957-06-02,Feyenoord,BVC Amsterdam,2,2
1956-1957,1957-06-02,Fortuna Sittard,GVAV,3,2
1956-1957,1957-06-02,PSV,Eindhoven,7,4
1956-1957,1957-06-02,SC Enschede,MVV,7,2
1956-1957,1957-06-02,VVV-Venlo,Sparta Rotterdam,2,1
1956-1957,1957-06-02,Willem II,Elinkwijk,4,0
1957-1958,1957-08-25,Ajax,MVV,4,0
1957-1958,1957-08-25,BVC Amsterdam,NAC Breda,3,2
1957-1958,1957-08-25,BVV Den Bosch,Roda JC,2,2
1957-1958,1957-08-25,Elinkwijk,ADO Den Haag,1,4
1957-1958,1957-08-25,Feyenoord,DOS,4,4
1957-1958,1957-08-25,Fortuna Sittard,GVAV,1,2
1957-1958,1957-08-25,NOAD,Sparta Rotterdam,0,3
1957-1958,1957-08-25,SC Enschede,PSV,5,4
1957-1958,1957-08-25,VVV-Venlo,Blauw Wit,2,0
1957-1958,1957-09-01,ADO Den Haag,VVV-Venlo,1,0
1957-1958,1957-09-01,Blauw Wit,NOAD,1,2
1957-1958,1957-09-01,BVV Den Bosch,NAC Breda,1,2
1957-1958,1957-09-01,DOS,Fortuna Sittard,1,0
1957-1958,1957-09-01,GVAV,BVC Amsterdam,2,1
1957-1958,1957-09-01,MVV,Elinkwijk,6,2
1957-1958,1957-09-01,Roda JC,PSV,3,1
1957-1958,1957-09-01,SC Enschede,Ajax,0,3
1957-1958,1957-09-01,Sparta Rotterdam,Feyenoord,4,2
1957-1958,1957-09-08,Ajax,PSV,1,2
1957-1958,1957-09-08,BVC Amsterdam,DOS,0,0
1957-1958,1957-09-08,BVV Den Bosch,GVAV,2,2
1957-1958,1957-09-08,Elinkwijk,SC Enschede,1,0
1957-1958,1957-09-08,Feyenoord,Blauw Wit,3,1
1957-1958,1957-09-08,Fortuna Sittard,Sparta Rotterdam,1,3
1957-1958,1957-09-08,NAC Breda,Roda JC,0,3
1957-1958,1957-09-08,NOAD,ADO Den Haag,2,3
1957-1958,1957-09-08,VVV-Venlo,MVV,0,1
1957-1958,1957-09-15,ADO Den Haag,Feyenoord,6,3
1957-1958,1957-09-15,Blauw Wit,Fortuna Sittard,3,3
1957-1958,1957-09-15,DOS,BVV Den Bosch,2,1
1957-1958,1957-09-15,GVAV,NAC Breda,1,3
1957-1958,1957-09-15,MVV,NOAD,3,1
1957-1958,1957-09-15,PSV,Elinkwijk,1,0
1957-1958,1957-09-15,Roda JC,Ajax,2,1
1957-1958,1957-09-15,SC Enschede,VVV-Venlo,3,0
1957-1958,1957-09-15,Sparta Rotterdam,BVC Amsterdam,5,1
1957-1958,1957-09-22,BVC Amsterdam,Blauw Wit,1,3
1957-1958,1957-09-22,BVV Den Bosch,Sparta Rotterdam,6,4
1957-1958,1957-09-22,Elinkwijk,Ajax,0,3
1957-1958,1957-09-22,Feyenoord,MVV,3,1
1957-1958,1957-09-22,Fortuna Sittard,ADO Den Haag,2,1
1957-1958,1957-09-22,GVAV,Roda JC,2,3
1957-1958,1957-09-22,NAC Breda,DOS,4,0
1957-1958,1957-09-22,NOAD,SC Enschede,2,6
1957-1958,1957-09-22,VVV-Venlo,PSV,4,1
1957-1958,1957-09-29,ADO Den Haag,BVC Amsterdam,3,3
1957-1958,1957-09-29,Ajax,VVV-Venlo,2,1
1957-1958,1957-09-29,Blauw Wit,BVV Den Bosch,1,2
1957-1958,1957-09-29,DOS,GVAV,4,2
1957-1958,1957-09-29,MVV,Fortuna Sittard,1,2
1957-1958,1957-09-29,PSV,NOAD,2,2
1957-1958,1957-09-29,Roda JC,Elinkwijk,2,1
1957-1958,1957-09-29,SC Enschede,Feyenoord,4,2
1957-1958,1957-09-29,Sparta Rotterdam,NAC Breda,0,1
1957-1958,1957-10-06,BVC Amsterdam,MVV,3,2
1957-1958,1957-10-06,BVV Den Bosch,ADO Den Haag,2,4
1957-1958,1957-10-06,DOS,Roda JC,3,2
1957-1958,1957-10-06,Feyenoord,PSV,3,2
1957-1958,1957-10-06,Fortuna Sittard,SC Enschede,0,2
1957-1958,1957-10-06,GVAV,Sparta Rotterdam,4,0
1957-1958,1957-10-06,NAC Breda,Blauw Wit,2,5
1957-1958,1957-10-06,NOAD,Ajax,1,3
1957-1958,1957-10-06,VVV-Venlo,Elinkwijk,3,2
1957-1958,1957-10-13,ADO Den Haag,NAC Breda,5,0
1957-1958,1957-10-13,Ajax,Feyenoord,1,2
1957-1958,1957-10-13,Blauw Wit,GVAV,2,3
1957-1958,1957-10-13,Elinkwijk,NOAD,1,2
1957-1958,1957-10-13,MVV,BVV Den Bosch,9,0
1957-1958,1957-10-13,PSV,Fortuna Sittard,2,3
1957-1958,1957-10-13,Roda JC,VVV-Venlo,2,1
1957-1958,1957-10-13,SC Enschede,BVC Amsterdam,0,0
1957-1958,1957-10-13,Sparta Rotterdam,DOS,1,7
1957-1958,1957-10-20,BVC Amsterdam,PSV,0,2
1957-1958,1957-10-20,BVV Den Bosch,SC Enschede,1,1
1957-1958,1957-10-20,DOS,Blauw Wit,0,0
1957-1958,1957-10-20,Feyenoord,Elinkwijk,5,2
1957-1958,1957-10-20,Fortuna Sittard,Ajax,1,1
1957-1958,1957-10-20,GVAV,ADO Den Haag,3,2
1957-1958,1957-10-20,NAC Breda,MVV,0,1
1957-1958,1957-10-20,NOAD,VVV-Venlo,2,1
1957-1958,1957-10-20,Sparta Rotterdam,Roda JC,2,1
1957-1958,1957-10-27,ADO Den Haag,DOS,6,2
1957-1958,1957-10-27,Ajax,BVC Amsterdam,3,4
1957-1958,1957-10-27,Blauw Wit,Sparta Rotterdam,0,0
1957-1958,1957-10-27,Elinkwijk,Fortuna Sittard,1,1
1957-1958,1957-10-27,MVV,GVAV,1,1
1957-1958,1957-10-27,PSV,BVV Den Bosch,5,3
1957-1958,1957-10-27,Roda JC,NOAD,3,1
1957-1958,1957-10-27,SC Enschede,NAC Breda,3,0
1957-1958,1957-10-27,VVV-Venlo,Feyenoord,4,0
1957-1958,1957-11-01,NOAD,Fortuna Sittard,1,0
1957-1958,1957-11-03,Blauw Wit,Roda JC,1,0
1957-1958,1957-11-03,BVC Amsterdam,Elinkwijk,0,1
1957-1958,1957-11-03,BVV Den Bosch,Ajax,0,1
1957-1958,1957-11-03,DOS,MVV,2,1
1957-1958,1957-11-03,Feyenoord,NOAD,4,0
1957-1958,1957-11-03,Fortuna Sittard,VVV-Venlo,2,2
1957-1958,1957-11-03,GVAV,SC Enschede,2,2
1957-1958,1957-11-03,NAC Breda,PSV,1,6
1957-1958,1957-11-03,Sparta Rotterdam,ADO Den Haag,2,2
1957-1958,1957-11-10,ADO Den Haag,Blauw Wit,1,0
1957-1958,1957-11-10,Ajax,NAC Breda,3,1
1957-1958,1957-11-10,Elinkwijk,BVV Den Bosch,0,4
1957-1958,1957-11-10,MVV,Sparta Rotterdam,1,1
1957-1958,1957-11-10,PSV,GVAV,1,0
1957-1958,1957-11-10,Roda JC,Feyenoord,3,2
1957-1958,1957-11-10,SC Enschede,DOS,0,0
1957-1958,1957-11-10,VVV-Venlo,BVC Amsterdam,1,0
1957-1958,1957-11-24,ADO Den Haag,Roda JC,2,1
1957-1958,1957-11-24,Blauw Wit,MVV,1,3
1957-1958,1957-11-24,BVC Amsterdam,NOAD,1,1
1957-1958,1957-11-24,BVV Den Bosch,VVV-Venlo,3,3
1957-1958,1957-11-24,DOS,PSV,2,2
1957-1958,1957-11-24,Fortuna Sittard,Feyenoord,2,1
1957-1958,1957-11-24,GVAV,Ajax,0,1
1957-1958,1957-11-24,NAC Breda,Elinkwijk,1,2
1957-1958,1957-11-24,Sparta Rotterdam,SC Enschede,1,1
1957-1958,1957-12-01,Ajax,DOS,1,0
1957-1958,1957-12-01,Elinkwijk,GVAV,2,3
1957-1958,1957-12-01,Feyenoord,BVC Amsterdam,3,1
1957-1958,1957-12-01,MVV,ADO Den Haag,1,0
1957-1958,1957-12-01,PSV,Sparta Rotterdam,1,1
1957-1958,1957-12-01,Roda JC,Fortuna Sittard,2,3
1957-1958,1957-12-01,SC Enschede,Blauw Wit,3,2
1957-1958,1957-12-01,VVV-Venlo,NAC Breda,3,3
1957-1958,1957-12-08,ADO Den Haag,SC Enschede,2,4
1957-1958,1957-12-08,Blauw Wit,PSV,6,3
1957-1958,1957-12-08,BVC Amsterdam,Fortuna Sittard,4,1
1957-1958,1957-12-08,BVV Den Bosch,Feyenoord,1,3
1957-1958,1957-12-08,DOS,Elinkwijk,4,1
1957-1958,1957-12-08,GVAV,VVV-Venlo,1,3
1957-1958,1957-12-08,MVV,Roda JC,1,1
1957-1958,1957-12-08,NAC Breda,NOAD,4,0
1957-1958,1957-12-08,Sparta Rotterdam,Ajax,4,4
1957-1958,1957-12-15,Ajax,Blauw Wit,1,0
1957-1958,1957-12-15,BVC Amsterdam,Roda JC,2,3
1957-1958,1957-12-15,Elinkwijk,Sparta Rotterdam,3,1
1957-1958,1957-12-15,Feyenoord,NAC Breda,3,1
1957-1958,1957-12-15,Fortuna Sittard,BVV Den Bosch,3,2
1957-1958,1957-12-15,PSV,ADO Den Haag,1,1
1957-1958,1957-12-15,VVV-Venlo,DOS,0,0
1957-1958,1957-12-22,ADO Den Haag,Ajax,3,1
1957-1958,1957-12-22,Blauw Wit,Elinkwijk,1,1
1957-1958,1957-12-22,BVV Den Bosch,BVC Amsterdam,3,3
1957-1958,1957-12-22,DOS,NOAD,1,1
