season,date,home_team,away_team,home_score,away_score,match_result,match_result_numeric,home_elo,away_elo,home_form_score,away_form_score,home_goal_difference,away_goal_difference,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_goal_diff,last10_h2h_home_wins,last10_h2h_away_wins,last10_h2h_draws,last100_h2h_goal_diff,last10_h2h_goal_diff,home_team_home_win_pct,away_team_away_win_pct,elo_difference
1956-1957,1956-09-30,MVV,DOS,2,5,away_win,-1,1047.9323273572415,952.0676726427585,10.799999999999999,0.0,5,-3,0,0,0,0,0,0,0,0,0.0,1.0,0.0,95.8646547144831
1956-1957,1956-09-30,GVAV,NOAD,2,0,home_win,1,985.4695015289755,1000.736306793522,3.5999999999999996,4.2,-2,1,0,0,0,0,0,0,0,0,0.0,1.0,0.0,-15.26680526454652
1956-1957,1956-09-30,Elinkwijk,Fortuna Sittard,2,2,draw,0,1014.5304984710245,1016.0,7.199999999999999,7.199999999999999,0,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.4695015289754565
1956-1957,1956-09-30,Eindhoven,Ajax,0,3,away_win,-1,985.401828886217,1046.5304984710244,3.0,10.799999999999999,-4,4,0,0,0,0,0,0,0,0,0.0,0.0,1.0,-61.128669584807426
1956-1957,1956-09-30,BVC Amsterdam,BVV Den Bosch,3,2,home_win,1,982.5612260339534,986.9328313337993,4.199999999999999,3.0,-6,-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-4.371605299845896
1956-1957,1956-09-30,Feyenoord,PSV,2,0,home_win,1,1032.0338330211207,953.4695015289755,8.0,0.0,5,-7,0,0,0,0,0,0,0,0,0.0,1.0,0.0,78.56433149214524
1956-1957,1956-10-07,SC Enschede,BVV Den Bosch,4,1,home_win,1,1014.4618443696507,970.7315220934684,10.0,3.5999999999999996,6,-5,0,0,0,0,0,0,0,0,0.0,0.5,0.0,43.73032227618239
1956-1957,1956-10-07,VVV-Venlo,Elinkwijk,2,1,home_win,1,997.1927050190651,1014.598171113783,9.0,9.4,-1,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,-17.405466094717895
1956-1957,1956-10-07,Sparta Rotterdam,BVC Amsterdam,1,1,draw,0,968.0661046953941,998.7625352742843,4.800000000000001,7.800000000000001,-6,-5,0,0,0,0,0,0,0,0,0.0,0.0,0.5,-30.696430578890272
1956-1957,1956-10-07,PSV,Willem II,3,1,home_win,1,941.0270915168602,999.3077980689512,0.0,6.799999999999999,-9,5,0,0,0,0,0,0,0,0,0.0,0.0,0.5,-58.28070655209103
1956-1957,1956-10-07,DOS,Roda JC,2,0,home_win,1,972.3736785280219,1001.4054660947178,3.0,7.199999999999999,0,-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-29.031787566695925
1956-1957,1956-10-07,NAC Breda,GVAV,2,0,home_win,1,1015.9000556836086,1002.1721117407621,8.0,7.199999999999999,4,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,13.727943942846423
1956-1957,1956-10-07,Ajax,MVV,2,0,home_win,1,1059.7441116059783,1027.6263214719781,15.6,12.6,7,2,0,0,0,0,0,0,0,0,0.0,1.0,1.0,32.11779013400019
1956-1957,1956-10-07,NOAD,Eindhoven,2,0,home_win,1,984.0336965817353,972.1882157512631,5.0,3.5999999999999996,-1,-7,0,0,0,0,0,0,0,0,0.0,0.5,0.5,11.845480830472184
1956-1957,1956-10-07,Fortuna Sittard,Feyenoord,3,2,home_win,1,1015.9323273572415,1044.476243033236,9.4,12.399999999999999,7,7,0,0,0,0,0,0,0,0,0.0,1.0,0.5,-28.543915675994413
1956-1957,1956-10-21,BVC Amsterdam,SC Enschede,0,2,away_win,-1,997.3525791913468,1028.4585563108255,10.6,15.0,-5,9,0,0,0,0,0,0,0,0,0.0,0.5,0.5,-31.10597711947878
1956-1957,1956-10-21,BVV Den Bosch,PSV,0,3,away_win,-1,956.7348101522934,959.6861235048749,4.199999999999999,3.0,-8,-7,0,0,0,0,0,0,0,0,0.0,0.5,0.0,-2.951313352581451
1956-1957,1956-10-21,Eindhoven,NAC Breda,2,2,draw,0,956.7335090356758,1031.268189293972,4.199999999999999,12.399999999999999,-9,6,0,0,0,0,0,0,0,0,0.0,0.0,0.5,-74.53468025829625
1956-1957,1956-10-21,Elinkwijk,DOS,1,6,away_win,-1,997.7972896585148,989.7075387237123,11.399999999999999,6.6,-1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.5,8.08975093480251
1956-1957,1956-10-21,GVAV,Sparta Rotterdam,2,2,draw,0,986.8039781303987,969.4760607783317,8.4,7.0,-2,-6,0,0,0,0,0,0,0,0,0.0,1.0,0.5,17.32791735206706
1956-1957,1956-10-21,MVV,NOAD,3,0,home_win,1,1013.1012015127043,999.4884032973226,15.0,8.799999999999999,0,1,0,0,0,0,0,0,0,0,0.0,0.5,0.0,13.612798215381645
1956-1957,1956-10-21,Roda JC,Ajax,4,2,home_win,1,984.0716058990273,1074.2692315652523,8.4,21.6,-6,9,0,0,0,0,0,0,0,0,0.0,1.0,1.0,-90.19762566622501
1956-1957,1956-10-21,Willem II,Fortuna Sittard,2,3,away_win,-1,980.6487660809365,1033.2438737710697,8.0,14.399999999999999,3,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-52.595107690133204
1956-1957,1956-10-21,Feyenoord,VVV-Venlo,3,0,home_win,1,1027.1646966194078,1013.9935864743333,14.6,13.8,6,0,0,0,0,0,0,0,0,0,0.0,1.0,0.5,13.171110145074522
1956-1957,1956-10-28,NOAD,Roda JC,3,2,home_win,1,984.114975231119,1004.1344919015064,10.4,13.2,0,-1,0,0,0,0,0,0,0,0,0.0,0.6666666666666666,0.0,-20.01951667038736
1956-1957,1956-10-28,Sparta Rotterdam,Eindhoven,6,0,home_win,1,970.2733798900969,960.1142531480251,2.2,5.800000000000001,-7,-6,0,0,0,0,0,0,0,0,0.0,0.0,0.3333333333333333,10.159126742071749
1956-1957,1956-10-28,PSV,SC Enschede,1,5,away_win,-1,975.5502137712242,1043.029888325463,6.6,14.0,-2,8,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.6666666666666666,-67.47967455423873
1956-1957,1956-10-28,VVV-Venlo,Willem II,3,1,home_win,1,998.5998481140482,967.0525266258978,9.6,7.4,-4,2,0,0,0,0,0,0,0,0,0.0,0.6666666666666666,0.3333333333333333,31.547321488150374
