season,date,home_team,away_team,home_score,away_score,match_result,match_result_numeric,home_elo,away_elo,home_form_score,away_form_score,home_goal_difference,away_goal_difference,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_goal_diff,last10_h2h_home_wins,last10_h2h_away_wins,last10_h2h_draws,last100_h2h_goal_diff,last10_h2h_goal_diff,home_team_home_win_pct,away_team_away_win_pct,elo_difference
1976-1977,1976-09-19,Ajax,Eindhoven,3,2,home_win,1,1238.4495335339097,994.7990763362018,13.799999999999999,6.6,1,-4,2,0,0,4,2,0,0,0,4.0,0.8235294117647058,0.17647058823529413,243.65045719770796
1976-1977,1976-09-26,Telstar,Haarlem,0,1,away_win,-1,999.9988733384228,1044.2415707324963,7.0,14.0,-5,4,2,2,1,2,2,2,1,0,2.0,0.29411764705882354,0.058823529411764705,-44.2426973940735
1976-1977,1976-09-26,NAC Breda,Ajax,0,1,away_win,-1,1045.3432233504916,1244.7666354711373,9.4,12.0,-4,-1,4,12,3,-15,1,7,2,0,-11.0,0.5294117647058824,0.4117647058823529,-199.4234121206457
1976-1977,1976-09-26,Go Ahead Eagles,AZ,1,1,draw,0,1057.5070704410357,1124.2936283913336,8.2,13.2,-2,8,4,1,2,8,4,1,2,0,8.0,0.23529411764705882,0.17647058823529413,-66.78655795029795
1976-1977,1976-09-26,Feyenoord,De Graafschap,5,0,home_win,1,1306.908290842552,986.4545145673588,18.0,5.799999999999999,7,-2,3,0,0,12,3,0,0,0,12.0,0.8823529411764706,0.058823529411764705,320.45377627519326
1976-1977,1976-09-26,VVV-Venlo,Sparta Rotterdam,1,2,away_win,-1,1041.594372939425,1050.0279652863758,15.8,13.6,2,4,2,0,4,2,2,0,4,0,2.0,0.6470588235294118,0.11764705882352941,-8.433592346950718
1976-1977,1976-09-26,FC Utrecht,PSV,1,0,home_win,1,1018.3538437514171,1259.3686159041458,10.4,13.2,-2,6,2,2,2,-3,2,2,2,0,-3.0,0.47058823529411764,0.47058823529411764,-241.0147721527287
1976-1977,1976-09-26,FC Amsterdam,NEC,2,2,draw,0,953.7514415362408,1029.1961811246408,3.6,7.4,-7,-1,1,0,2,5,1,0,2,0,5.0,0.17647058823529413,0.29411764705882354,-75.44473958840001
1976-1977,1976-09-26,Eindhoven,Roda JC,0,0,draw,0,988.4819743989742,1167.2551593591036,5.6,17.6,-5,10,0,2,0,-3,0,2,0,0,-3.0,0.29411764705882354,0.47058823529411764,-178.77318496012936
1976-1977,1976-09-26,FC Twente,FC Den Haag,1,1,draw,0,1088.4734858255854,1062.5822499930312,1.6,5.0,-11,-1,4,0,1,9,4,0,1,0,9.0,0.7058823529411765,0.17647058823529413,25.89123583255423
1976-1977,1976-10-03,Sparta Rotterdam,FC Twente,1,1,draw,0,1065.6396602685527,1087.2833526221766,19.2,3.0,7,-7,3,3,5,2,3,2,5,0,3.0,0.35294117647058826,0.17647058823529413,-21.64369235362392
1976-1977,1976-10-03,Ajax,VVV-Venlo,1,0,home_win,1,1252.4741374610637,1025.9826779572484,17.4,11.799999999999999,2,0,5,0,1,11,5,0,1,0,11.0,0.8235294117647058,0.11764705882352941,226.49145950381535
1976-1977,1976-10-03,AZ,Feyenoord,1,1,draw,0,1121.255324941427,1311.2762495884358,9.4,17.4,5,10,1,4,3,-8,1,4,3,0,-8.0,0.7647058823529411,0.5882352941176471,-190.02092464700877
1976-1977,1976-10-03,De Graafschap,FC Amsterdam,1,5,away_win,-1,982.0865558214751,957.1722020774043,6.800000000000001,3.0,-6,-7,1,1,1,-1,1,1,1,0,-1.0,0.35294117647058826,0.058823529411764705,24.91435374407081
1976-1977,1976-10-03,FC Den Haag,FC Utrecht,0,3,away_win,-1,1063.77238319644,1043.9594646459136,4.6,13.2,-1,-1,1,1,3,1,1,1,3,0,1.0,0.7058823529411765,0.17647058823529413,19.81291855052632
1976-1977,1976-10-03,Haarlem,Go Ahead Eagles,0,0,draw,0,1058.2150611288578,1060.5453738909423,12.399999999999999,10.799999999999999,3,0,3,0,2,6,3,0,2,0,6.0,0.5294117647058824,0.29411764705882354,-2.3303127620845316
1976-1977,1976-10-03,NAC Breda,Eindhoven,4,1,home_win,1,1037.6357213605652,996.057705698278,11.399999999999999,5.199999999999999,-2,-5,1,1,0,1,1,1,0,0,1.0,0.5294117647058824,0.17647058823529413,41.57801566228716
1976-1977,1976-10-03,NEC,Roda JC,0,0,draw,0,1025.7754205834772,1159.6794280597999,2.6,19.6,-5,10,2,0,0,7,2,0,0,0,7.0,0.35294117647058826,0.4117647058823529,-133.9040074763227
1976-1977,1976-10-03,PSV,Telstar,5,2,home_win,1,1233.7629950096493,986.0253829420612,8.4,5.799999999999999,3,-6,10,1,1,22,8,1,1,0,19.0,0.8235294117647058,0.058823529411764705,247.7376120675881
1976-1977,1976-10-17,Go Ahead Eagles,PSV,2,5,away_win,-1,1060.438060631585,1239.9616597956772,11.2,13.2,0,7,6,3,4,3,5,1,4,0,7.0,0.23529411764705882,0.47058823529411764,-179.52359916409227
1976-1977,1976-10-17,Telstar,FC Den Haag,3,1,home_win,1,979.8267181560335,1046.8609523502244,6.800000000000001,5.3999999999999995,-7,-3,3,1,1,6,3,1,1,0,6.0,0.29411764705882354,0.17647058823529413,-67.03423419419084
1976-1977,1976-10-17,Feyenoord,Haarlem,7,0,home_win,1,1303.3048671224776,1058.3223743882152,14.799999999999999,15.6,6,5,5,0,0,13,5,0,0,0,13.0,0.8823529411764706,0.11764705882352941,244.98249273426245
1976-1977,1976-10-17,VVV-Venlo,NAC Breda,1,1,draw,0,1019.1497846246746,1051.7300713604918,6.800000000000001,9.200000000000001,-2,-1,3,1,2,6,3,1,2,0,6.0,0.5882352941176471,0.11764705882352941,-32.58028673581725
1976-1977,1976-10-17,Roda JC,De Graafschap,3,0,home_win,1,1153.8011295497108,964.9411700333615,17.2,6.0,8,-10,2,0,1,6,2,0,1,0,6.0,0.47058823529411764,0.058823529411764705,188.85995951634936
1976-1977,1976-10-17,FC Twente,Ajax,1,2,away_win,-1,1086.287911103677,1259.3070307936375,2.2,16.799999999999997,-7,2,3,5,3,-2,3,4,3,0,0.0,0.6470588235294118,0.47058823529411764,-173.01911968996046
1976-1977,1976-10-17,FC Amsterdam,AZ,2,6,away_win,-1,974.317587865518,1129.2267074073852,4.2,12.399999999999999,-3,6,1,1,2,-2,1,1,2,0,-2.0,0.17647058823529413,0.17647058823529413,-154.9091195418672
1976-1977,1976-10-17,FC Utrecht,Sparta Rotterdam,1,0,home_win,1,1060.8708954921292,1066.6351017870522,11.4,16.8,1,6,1,2,3,-3,1,2,3,0,-3.0,0.5294117647058824,0.17647058823529413,-5.764206294923042
1976-1977,1976-10-17,Eindhoven,NEC,3,1,home_win,1,981.9633556983514,1031.6537190935662,6.000000000000001,4.2,-4,-4,1,0,0,1,1,0,0,0,1.0,0.23529411764705882,0.23529411764705882,-49.69036339521483
1976-1977,1976-10-24,Sparta Rotterdam,Telstar,3,1,home_win,1,1050.3696746299686,998.876014734492,13.0,9.0,2,-5,8,2,2,14,7,2,1,0,13.0,0.29411764705882354,0.058823529411764705,51.49365989547664
1976-1977,1976-10-24,PSV,Feyenoord,2,3,away_win,-1,1248.3591454751606,1309.5831830739025,11.4,13.2,6,12,11,8,1,6,5,4,1,0,3.0,0.8823529411764706,0.5882352941176471,-61.224037598741916
1976-1977,1976-10-24,NAC Breda,FC Twente,3,1,home_win,1,1050.2340761463915,1077.6564580954805,12.2,2.5999999999999996,3,-5,3,4,3,-1,3,4,3,0,-1.0,0.5882352941176471,0.17647058823529413,-27.422381949088958
1976-1977,1976-10-24,Haarlem,FC Amsterdam,3,1,home_win,1,1052.0440584367902,965.0134842054665,16.2,5.0,-2,-6,1,2,0,-3,1,2,0,0,-3.0,0.5294117647058824,0.11764705882352941,87.03057423132373
1976-1977,1976-10-24,VVV-Venlo,Eindhoven,0,0,draw,0,1020.645779838775,1000.2362056746113,7.0,10.4,-2,1,1,0,0,1,1,0,0,0,1.0,0.5294117647058824,0.17647058823529413,20.4095741641637
1976-1977,1976-10-24,FC Den Haag,Go Ahead Eagles,8,2,home_win,1,1027.8116557717658,1052.0405749521015,6.200000000000001,13.4,-4,0,3,0,2,8,3,0,2,0,8.0,0.6470588235294118,0.29411764705882354,-24.22891918033565
1976-1977,1976-10-24,De Graafschap,NEC,3,0,home_win,1,956.872291853533,1013.3808691173064,0.0,2.5999999999999996,-14,-6,2,0,0,2,2,0,0,0,2.0,0.35294117647058826,0.23529411764705882,-56.508577263773304
1976-1977,1976-10-24,AZ,Roda JC,2,1,home_win,1,1138.5308110674366,1161.8700077295393,10.4,16.4,7,8,1,0,3,3,1,0,3,0,3.0,0.7058823529411765,0.4117647058823529,-23.339196662102722
1976-1977,1976-10-24,Ajax,FC Utrecht,7,0,home_win,1,1267.938483801834,1077.1363226492128,15.6,16.799999999999997,2,3,6,0,0,22,6,0,0,0,22.0,0.8235294117647058,0.17647058823529413,190.80216115262124
1976-1977,1976-10-31,Telstar,Ajax,0,0,draw,0,985.2301731348471,1275.9400844608647,3.5999999999999996,21.6,-8,11,1,8,3,-15,1,7,2,0,-14.0,0.35294117647058826,0.47058823529411764,-290.7099113260176
1976-1977,1976-10-31,NEC,AZ,1,1,draw,0,994.8012593631024,1155.6040069913777,3.0,15.6,-7,9,4,1,1,5,4,1,1,0,5.0,0.35294117647058826,0.23529411764705882,-160.80274762827526
1976-1977,1976-10-31,Go Ahead Eagles,Sparta Rotterdam,3,3,draw,0,1034.926597225589,1064.0155162296135,9.0,11.200000000000001,-8,2,4,3,6,2,3,3,4,0,0.0,0.17647058823529413,0.17647058823529413,-29.088919004024547
1976-1977,1976-10-31,Feyenoord,FC Den Haag,3,2,home_win,1,1322.792537749215,1044.9256334982783,18.8,10.6,15,3,4,0,1,9,4,0,1,0,9.0,0.8823529411764706,0.17647058823529413,277.8669042509366
1976-1977,1976-10-31,Roda JC,Haarlem,1,1,draw,0,1144.7968118055983,1064.1179289270754,12.6,15.200000000000001,5,-1,1,0,1,2,1,0,1,0,2.0,0.5294117647058824,0.11764705882352941,80.67888287852293
1976-1977,1976-10-31,FC Twente,VVV-Venlo,3,1,home_win,1,1060.3962265738487,1019.7069638534232,3.0,2.2,-6,-4,0,0,0,0,0,0,0,0,0.0,0.6470588235294118,0.11764705882352941,40.68926272042552
1976-1977,1976-10-31,FC Amsterdam,PSV,0,0,draw,0,952.9396137151814,1235.1497907998482,5.799999999999999,13.799999999999999,-5,7,1,2,1,-2,1,2,1,0,-2.0,0.17647058823529413,0.5294117647058824,-282.21017708466684
1976-1977,1976-10-31,Eindhoven,De Graafschap,1,0,home_win,1,1001.175021659963,975.451901607737,6.199999999999999,3.0,-2,-10,0,0,1,0,0,0,1,0,0.0,0.23529411764705882,0.058823529411764705,25.723120052226022
1976-1977,1976-10-31,FC Utrecht,NAC Breda,3,1,home_win,1,1069.1347219901822,1067.4943076680233,12.6,10.399999999999999,-5,4,2,2,2,1,2,2,2,0,1.0,0.5294117647058824,0.11764705882352941,1.6404143221589038
1976-1977,1976-11-07,Sparta Rotterdam,Feyenoord,1,3,away_win,-1,1062.679043355119,1328.1700496578223,12.2,18.4,2,14,2,10,8,-19,0,4,6,0,-7.0,0.35294117647058826,0.5882352941176471,-265.49100630270345
1976-1977,1976-11-07,NAC Breda,Telstar,3,1,home_win,1,1051.5698509779654,996.1753471010682,9.8,5.199999999999999,2,-4,5,2,4,4,4,2,4,0,2.0,0.5882352941176471,0.058823529411764705,55.39450387689726
1976-1977,1976-11-07,Haarlem,NEC,1,1,draw,0,1067.7679570423702,1001.7194338669223,12.2,4.6,-4,-5,2,0,2,2,2,0,2,0,2.0,0.5882352941176471,0.23529411764705882,66.04852317544794
1976-1977,1976-11-07,VVV-Venlo,FC Utrecht,1,5,away_win,-1,1005.5722536541514,1085.0591786802402,2.5999999999999996,18.0,-4,0,0,0,0,0,0,0,0,0,0.0,0.5294117647058824,0.17647058823529413,-79.48692502608878
1976-1977,1976-11-07,PSV,Roda JC,2,1,home_win,1,1224.41637478363,1141.1467836903034,10.0,8.799999999999999,4,2,5,0,4,16,5,0,4,0,16.0,0.8235294117647058,0.4117647058823529,83.26959109332665
1976-1977,1976-11-07,FC Den Haag,FC Amsterdam,3,0,home_win,1,1039.548121589671,963.6730297313995,5.6,7.800000000000001,0,-2,2,1,1,4,2,1,1,0,4.0,0.6470588235294118,0.11764705882352941,75.87509185827139
1976-1977,1976-11-07,AZ,De Graafschap,4,1,home_win,1,1148.685832487558,960.6343353524801,12.399999999999999,3.5999999999999996,5,-10,3,0,0,11,3,0,0,0,11.0,0.7058823529411765,0.058823529411764705,188.05149713507785
1976-1977,1976-11-07,Ajax,Go Ahead Eagles,4,0,home_win,1,1264.9949104946436,1036.2630701000835,19.6,4.6,10,-9,13,0,0,40,10,0,0,0,31.0,0.8235294117647058,0.29411764705882354,228.7318403945601
1976-1977,1976-11-07,FC Twente,Eindhoven,4,0,home_win,1,1074.5309367731206,1015.9925879152199,6.6,10.399999999999999,-1,0,1,0,0,2,1,0,0,0,2.0,0.6470588235294118,0.17647058823529413,58.5383488579007
1976-1977,1976-11-14,Telstar,VVV-Venlo,3,1,home_win,1,982.7049598097038,993.1702061927842,6.000000000000001,3.0,-5,-7,0,0,0,0,0,0,0,0,0.0,0.29411764705882354,0.11764705882352941,-10.465246383080398
1976-1977,1976-11-14,De Graafschap,Haarlem,2,2,draw,0,952.5373419067826,1064.7624289325215,4.199999999999999,8.399999999999999,-8,-5,0,0,2,0,0,0,2,0,0.0,0.4117647058823529,0.11764705882352941,-112.22508702573896
1976-1977,1976-11-14,Eindhoven,AZ,0,7,away_win,-1,1002.6631556509705,1156.7828259332555,9.8,15.2,-4,8,0,1,0,-2,0,1,0,0,-2.0,0.29411764705882354,0.23529411764705882,-154.11967028228503
1976-1977,1976-11-14,FC Amsterdam,Sparta Rotterdam,2,2,draw,0,951.1126978208308,1056.975230516687,7.2,7.3999999999999995,-5,-1,3,1,0,6,3,1,0,0,6.0,0.17647058823529413,0.17647058823529413,-105.86253269585609
1976-1977,1976-11-14,FC Utrecht,FC Twente,1,0,home_win,1,1097.4612261416073,1087.86036903737,17.4,8.6,3,3,1,3,2,-2,1,3,2,0,-2.0,0.5882352941176471,0.17647058823529413,9.60085710423732
1976-1977,1976-11-14,Feyenoord,Ajax,1,1,draw,0,1333.8738624962543,1271.7587547382898,17.6,19.2,11,13,9,4,7,13,5,1,4,0,4.0,0.9411764705882353,0.4117647058823529,62.11510775796455
1976-1977,1976-11-14,Go Ahead Eagles,NAC Breda,2,2,draw,0,1029.4992258564373,1065.0402382693296,3.2,14.799999999999999,-13,5,9,0,3,21,7,0,3,0,17.0,0.17647058823529413,0.058823529411764705,-35.541012412892314
1976-1977,1976-11-14,NEC,PSV,0,1,away_win,-1,1004.7249619767709,1236.6534432226879,4.2,15.0,-5,6,2,2,4,1,2,2,4,0,1.0,0.29411764705882354,0.47058823529411764,-231.92848124591694
1976-1977,1976-11-14,Roda JC,FC Den Haag,2,2,draw,0,1128.9097152512456,1052.1084535002396,8.0,7.199999999999999,1,3,2,1,0,2,2,1,0,0,2.0,0.5294117647058824,0.11764705882352941,76.801261751006
1976-1977,1976-11-28,PSV,De Graafschap,1,1,draw,0,1243.3196528867104,957.5329551338484,14.0,5.800000000000001,4,-4,2,0,1,6,2,0,1,0,6.0,0.8235294117647058,0.058823529411764705,285.786697752862
1976-1977,1976-11-28,NAC Breda,Feyenoord,2,2,draw,0,1063.409199434099,1331.0434480739389,11.4,19.6,2,11,6,9,4,-12,2,6,2,0,-16.0,0.6470588235294118,0.6470588235294118,-267.6342486398398
1976-1977,1976-11-28,Sparta Rotterdam,Roda JC,3,1,home_win,1,1052.2455508373307,1125.4293900523812,7.200000000000001,8.4,-1,1,5,1,3,7,5,1,3,0,7.0,0.29411764705882354,0.35294117647058826,-73.18383921505051
1976-1977,1976-11-28,Haarlem,AZ,2,1,home_win,1,1059.7668157054557,1166.116946383038,8.4,18.8,-5,15,1,2,2,-1,1,2,2,0,-1.0,0.5882352941176471,0.23529411764705882,-106.35013067758246
1976-1977,1976-11-28,FC Utrecht,Eindhoven,6,1,home_win,1,1113.019202838005,993.3290352011878,16.799999999999997,11.799999999999999,1,-8,0,0,1,0,0,0,1,0,0.0,0.6470588235294118,0.17647058823529413,119.69016763681714
1976-1977,1976-11-28,VVV-Venlo,Go Ahead Eagles,2,0,home_win,1,976.6884094888319,1031.130264691668,3.6,2.4,-8,-13,0,0,0,0,0,0,0,0,0.0,0.5294117647058824,0.29411764705882354,-54.441855202835995
1976-1977,1976-11-28,FC Twente,Telstar,3,0,home_win,1,1072.3023923409723,999.1867565136562,7.799999999999999,10.4,2,0,7,0,4,10,7,0,3,0,10.0,0.6470588235294118,0.058823529411764705,73.11563582731617
1976-1977,1976-11-28,FC Den Haag,NEC,2,1,home_win,1,1055.588778699104,998.0587523127484,9.4,2.5999999999999996,6,-6,4,0,0,7,4,0,0,0,7.0,0.6470588235294118,0.23529411764705882,57.530026386355644
1976-1977,1976-11-28,Ajax,FC Amsterdam,1,0,home_win,1,1274.5891691606053,955.8423775001871,16.8,2.4,12,-9,3,1,0,6,3,1,0,0,6.0,0.8235294117647058,0.11764705882352941,318.7467916604181
1976-1977,1976-12-05,De Graafschap,FC Den Haag,0,3,away_win,-1,968.356330418996,1068.9633740428249,8.2,14.399999999999999,-1,9,2,0,1,3,2,0,1,0,3.0,0.35294117647058826,0.11764705882352941,-100.60704362382887
1976-1977,1976-12-05,Eindhoven,Haarlem,2,1,home_win,1,982.6328000742662,1080.5169794453707,6.800000000000001,13.2,-15,3,0,0,0,0,0,0,0,0,0.0,0.29411764705882354,0.11764705882352941,-97.88417937110444
1976-1977,1976-12-05,FC Amsterdam,NAC Breda,1,0,home_win,1,951.4372243746071,1073.762984803583,2.8,12.399999999999999,-6,2,2,0,2,4,2,0,2,0,4.0,0.17647058823529413,0.058823529411764705,-122.32576042897597
1976-1977,1976-12-05,Go Ahead Eagles,FC Twente,1,1,draw,0,1012.6434449236482,1084.984133613732,2.8,12.0,-12,6,5,3,3,4,4,3,3,0,2.0,0.17647058823529413,0.11764705882352941,-72.34068869008377
1976-1977,1976-12-05,NEC,Sparta Rotterdam,3,0,home_win,1,984.6841569690276,1071.5668152314581,3.0,11.799999999999999,-5,2,3,3,2,2,3,3,2,0,2.0,0.29411764705882354,0.17647058823529413,-86.88265826243048
1976-1977,1976-12-05,Roda JC,Ajax,2,3,away_win,-1,1106.1081256582538,1278.9943222861853,2.8,16.0,-4,12,3,3,3,0,3,3,3,0,0.0,0.47058823529411764,0.4117647058823529,-172.88619662793144
1976-1977,1976-12-05,Telstar,FC Utrecht,1,1,draw,0,986.5050152408967,1123.7154379649267,5.199999999999999,15.6,-5,5,2,3,1,3,2,3,1,0,3.0,0.35294117647058826,0.23529411764705882,-137.21042272402997
1976-1977,1976-12-12,Telstar,Eindhoven,3,1,home_win,1,992.5145643581479,1003.0249367679081,7.199999999999999,9.0,-3,-14,0,1,0,-2,0,1,0,0,-2.0,0.29411764705882354,0.17647058823529413,-10.51037240976018
1976-1977,1976-12-12,Sparta Rotterdam,De Graafschap,3,0,home_win,1,1051.647088015392,956.8641594373471,7.0,2.5999999999999996,-3,-7,2,1,0,4,2,1,0,0,4.0,0.35294117647058826,0.058823529411764705,94.7829285780449
1976-1977,1976-12-12,PSV,Haarlem,4,0,home_win,1,1232.496277601563,1060.124842751729,10.399999999999999,8.6,1,0,4,0,1,4,4,0,1,0,4.0,0.7647058823529411,0.11764705882352941,172.37143484983403
1976-1977,1976-12-12,NAC Breda,Roda JC,1,0,home_win,1,1052.3514562743615,1097.4718487513323,7.4,3.4,-1,-4,2,4,3,-7,2,4,3,0,-7.0,0.6470588235294118,0.29411764705882354,-45.12039247697089
1976-1977,1976-12-12,FC Den Haag,AZ,2,1,home_win,1,1080.4555450244738,1145.366782643123,12.8,15.399999999999999,6,10,2,1,1,6,2,1,1,0,6.0,0.6470588235294118,0.23529411764705882,-64.91123761864924
1976-1977,1976-12-12,FC Utrecht,Go Ahead Eagles,3,0,home_win,1,1117.7058888476754,1015.9275352316907,19.6,4.4,12,-6,4,1,1,6,4,1,1,0,6.0,0.7058823529411765,0.29411764705882354,101.77835361598466
1976-1977,1976-12-12,Ajax,NEC,2,1,home_win,1,1287.6305991931067,1004.6038841850939,14.8,6.6,6,1,8,0,0,22,8,0,0,0,22.0,0.8235294117647058,0.17647058823529413,283.02671500801284
1976-1977,1976-12-12,VVV-Venlo,FC Amsterdam,3,1,home_win,1,995.1752292568516,972.8487529038289,5.0,6.4,-6,-3,0,0,0,0,0,0,0,0,0.0,0.5294117647058824,0.11764705882352941,22.326476353022713
1976-1977,1976-12-19,AZ,PSV,4,0,home_win,1,1126.411811311601,1241.1512517070921,11.0,15.2,8,6,4,2,2,3,4,2,2,0,3.0,0.7058823529411765,0.47058823529411764,-114.7394403954911
1976-1977,1976-12-19,Feyenoord,VVV-Venlo,1,1,draw,0,1320.6896627044548,1010.1484699509873,17.2,6.6,4,-4,3,1,2,6,3,1,2,0,6.0,0.8823529411764706,0.11764705882352941,310.5411927534675
1976-1977,1977-01-09,NEC,NAC Breda,2,2,draw,0,999.3579483245849,1070.4177240190822,5.6,12.0,0,2,3,2,3,0,3,2,3,0,0.0,0.29411764705882354,0.058823529411764705,-71.05977569449738
1976-1977,1977-01-09,Roda JC,VVV-Venlo,1,0,home_win,1,1079.4055810066116,1021.5607927227139,1.6,8.799999999999999,-5,-2,5,1,0,7,5,1,0,0,7.0,0.47058823529411764,0.11764705882352941,57.84478828389763
1976-1977,1977-01-09,PSV,Eindhoven,3,0,home_win,1,1220.0513734487756,986.5410638261062,15.8,3.5999999999999996,2,-17,2,0,0,4,2,0,0,0,4.0,0.7647058823529411,0.17647058823529413,233.5103096226694
1976-1977,1977-01-09,Haarlem,FC Den Haag,0,0,draw,0,1051.4698686461998,1099.410516355996,7.799999999999999,18.4,-4,8,0,1,2,-1,0,1,2,0,-1.0,0.6470588235294118,0.17647058823529413,-47.94064770979617
1976-1977,1977-01-09,AZ,Sparta Rotterdam,4,0,home_win,1,1147.5116895699175,1063.387328012359,13.8,8.799999999999999,12,0,3,1,4,4,3,1,4,0,4.0,0.7058823529411765,0.17647058823529413,84.12436155755859
1976-1977,1977-01-09,Feyenoord,FC Utrecht,5,2,home_win,1,1309.2773399327282,1129.148447984018,14.4,19.2,3,13,5,0,1,12,5,0,1,0,12.0,0.8235294117647058,0.23529411764705882,180.12889194871013
1976-1977,1977-01-09,FC Amsterdam,FC Twente,0,1,away_win,-1,957.8755122096932,1081.7000433056894,5.199999999999999,15.4,-5,8,0,2,2,-4,0,2,2,0,-4.0,0.17647058823529413,0.11764705882352941,-123.82453109599624
1976-1977,1977-01-09,De Graafschap,Ajax,0,0,draw,0,945.1239194403802,1292.8765350536157,3.0,18.4,-9,7,2,0,1,2,2,0,1,0,2.0,0.35294117647058826,0.4117647058823529,-347.75261561323555
1976-1977,1977-01-09,Go Ahead Eagles,Telstar,3,1,home_win,1,1004.4849760953481,1008.9984372999498,2.8,9.0,-9,-1,7,2,3,12,6,1,3,0,12.0,0.17647058823529413,0.058823529411764705,-4.513461204601754
1976-1977,1977-01-12,FC Twente,Feyenoord,0,1,away_win,-1,1092.2274787890879,1317.6532621269698,14.399999999999999,13.2,7,5,2,4,5,-2,2,3,5,0,0.0,0.6470588235294118,0.5882352941176471,-225.42578333788197
1976-1977,1977-01-16,Telstar,Feyenoord,1,0,home_win,1,992.7905964218454,1324.5191795926419,11.0,11.6,-1,4,2,9,1,-15,2,7,1,0,-11.0,0.29411764705882354,0.5882352941176471,-331.72858317079647
1976-1977,1977-01-16,Sparta Rotterdam,Haarlem,3,1,home_win,1,1051.1874243813588,1053.6637113624554,10.4,7.800000000000001,-2,-4,2,0,3,4,2,0,3,0,4.0,0.35294117647058826,0.11764705882352941,-2.476286981096564
1976-1977,1977-01-16,NAC Breda,De Graafschap,1,0,home_win,1,1067.190179301179,957.3155532068452,8.2,4.6,0,-6,2,0,1,5,2,0,1,0,5.0,0.7058823529411765,0.058823529411764705,109.87462609433373
1976-1977,1977-01-16,VVV-Venlo,NEC,1,1,draw,0,1008.2003003160365,1002.5854930424881,10.2,5.199999999999999,1,0,0,0,0,0,0,0,0,0,0.0,0.5882352941176471,0.11764705882352941,5.614807273548422
1976-1977,1977-01-16,FC Twente,Roda JC,1,0,home_win,1,1085.3615613234158,1092.766073413289,9.8,5.0,2,-3,3,0,0,5,3,0,0,0,5.0,0.5882352941176471,0.29411764705882354,-7.404512089873151
1976-1977,1977-01-16,FC Den Haag,PSV,0,0,draw,0,1097.2166736397403,1226.6696551151415,15.6,14.799999999999999,5,4,2,1,2,3,2,1,2,0,3.0,0.7058823529411765,0.47058823529411764,-129.4529814754012
1976-1977,1977-01-16,Eindhoven,Go Ahead Eagles,2,2,draw,0,979.9227821597403,1020.6928169734525,4.199999999999999,6.4,-16,-3,1,0,0,2,1,0,0,0,2.0,0.35294117647058826,0.23529411764705882,-40.770034813712186
1976-1977,1977-01-16,Ajax,AZ,1,0,home_win,1,1280.6849012871508,1159.7115932009176,15.6,12.6,3,13,8,0,0,27,8,0,0,0,27.0,0.8235294117647058,0.23529411764705882,120.97330808623315
1976-1977,1977-01-16,FC Utrecht,FC Amsterdam,2,2,draw,0,1120.7725257897764,947.3480767262947,15.8,6.199999999999999,6,-3,2,0,2,3,2,0,2,0,3.0,0.7647058823529411,0.058823529411764705,173.4244490634817
1976-1977,1977-01-23,NAC Breda,AZ,0,0,draw,0,1078.292462049961,1149.0678912782685,10.399999999999999,7.799999999999999,1,5,4,2,2,11,4,2,2,0,11.0,0.7647058823529411,0.23529411764705882,-70.77542922830753
1976-1977,1977-01-23,Telstar,FC Amsterdam,0,2,away_win,-1,1020.6617106062002,954.7313229941957,8.799999999999999,5.800000000000001,-2,-3,1,2,1,-4,1,2,1,0,-4.0,0.35294117647058826,0.058823529411764705,65.93038761200455
1976-1977,1977-01-23,Sparta Rotterdam,PSV,0,2,away_win,-1,1067.3014596801866,1220.9694951792922,13.2,11.4,0,3,7,6,7,4,4,3,3,0,5.0,0.4117647058823529,0.4117647058823529,-153.6680354991056
1976-1977,1977-01-23,Go Ahead Eagles,Feyenoord,0,0,draw,0,1018.8238581343576,1296.648065408287,6.199999999999999,11.399999999999999,-3,3,2,10,1,-15,2,7,1,0,-11.0,0.23529411764705882,0.5882352941176471,-277.82420727392946
1976-1977,1977-01-23,Ajax,Haarlem,2,0,home_win,1,1291.3286032098,1037.5496760636277,19.2,7.2,4,-6,5,0,0,20,5,0,0,0,20.0,0.8823529411764706,0.11764705882352941,253.77892714617224
1976-1977,1977-01-23,FC Utrecht,Roda JC,2,6,away_win,-1,1113.3892795218753,1076.425134646338,12.799999999999999,3.5999999999999996,5,-4,1,2,0,-2,1,2,0,0,-2.0,0.7058823529411765,0.29411764705882354,36.964144875537386
1976-1977,1977-01-23,Eindhoven,FC Den Haag,1,0,home_win,1,981.7917409988353,1102.9168335755896,5.800000000000001,17.2,-9,5,0,1,0,-2,0,1,0,0,-2.0,0.35294117647058826,0.17647058823529413,-121.12509257675435
1976-1977,1977-01-23,VVV-Venlo,De Graafschap,1,1,draw,0,1007.941751393377,946.2132704580631,13.200000000000001,3.2,3,-7,0,0,0,0,0,0,0,0,0.0,0.5882352941176471,0.058823529411764705,61.72848093531388
1976-1977,1977-01-23,FC Twente,NEC,2,3,away_win,-1,1101.7025000903668,1002.8440419651477,14.799999999999999,7.000000000000001,4,1,6,0,2,11,6,0,2,0,11.0,0.5882352941176471,0.058823529411764705,98.85845812521916
